Year,REF_AREA,Country,Household_type,Measure,INCOME_PRINCIPAL,INCOME_SPOUSE,Net_average_tax_rate_pct
2000,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.09
2001,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.74
2002,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.18
2003,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.66
2004,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.81
2005,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.6
2006,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.33
2007,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.02
2008,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.68
2009,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2010,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.59
2011,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.44
2012,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.03
2013,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.71
2014,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.08
2015,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.54
2016,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.49
2017,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.95
2018,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2019,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.88
2020,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,19.5
2021,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.13
2000,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.98
2001,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.32
2002,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.07
2003,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.87
2004,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.88
2005,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2006,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.94
2007,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2008,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.31
2009,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.14
2010,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.93
2011,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.06
2012,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.92
2013,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.5
2014,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.45
2015,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.06
2016,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.46
2017,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.34
2018,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.49
2019,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.82
2020,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.78
2021,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.01
2000,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.81
2001,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.02
2002,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.36
2003,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.32
2004,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.95
2005,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.84
2006,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.98
2007,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,33.19
2008,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.99
2009,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.45
2010,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.04
2011,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.3
2012,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.42
2013,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.0
2014,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.78
2015,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.1
2016,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.09
2017,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.05
2018,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.95
2019,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.17
2020,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.48
2021,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.63
2000,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.76
2001,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.69
2002,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,17.69
2003,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,18.39
2004,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.08
2005,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.44
2006,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.27
2007,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.6
2008,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,10.09
2009,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.62
2010,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,13.67
2011,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.27
2012,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.78
2013,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.67
2014,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,15.06
2015,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.23
2016,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.1
2017,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.56
2018,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,6.28
2019,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.25
2020,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.74
2021,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,9.12
2000,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,26.0
2001,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.92
2002,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.6
2003,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.18
2004,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2005,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.82
2006,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.54
2007,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.56
2008,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.74
2009,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.7
2010,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.9
2011,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.87
2012,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.76
2013,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.72
2014,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.15
2015,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.57
2016,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.42
2017,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.87
2018,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19
2019,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19
2020,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.93
2021,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,25.28
2000,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.38
2001,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.14
2002,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.13
2003,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.4
2004,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.41
2005,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.67
2006,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.74
2007,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.99
2008,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.14
2009,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2010,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.21
2011,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.38
2012,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.64
2013,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75
2014,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.07
2015,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.16
2016,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75
2017,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.68
2018,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.15
2019,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.78
2020,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.39
2021,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.85
2000,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.26
2001,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.22
2002,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.35
2003,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.17
2004,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.24
2005,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.32
2006,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.7
2007,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.48
2008,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.3
2009,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.94
2010,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.14
2011,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.92
2012,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.13
2013,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.88
2014,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.06
2015,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.21
2016,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.34
2017,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.37
2018,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.43
2019,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.97
2020,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.49
2021,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.2
2000,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.04
2001,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.36
2002,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.26
2003,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.21
2004,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.96
2005,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.08
2006,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.54
2007,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.51
2008,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.87
2009,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.68
2010,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.16
2011,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.82
2012,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.77
2013,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.64
2014,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2015,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.93
2016,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.69
2017,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.76
2018,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.12
2019,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.27
2020,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,19.99
2021,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,19.66
2000,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.32
2001,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,25.28
2002,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.58
2003,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,19.98
2004,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,21.56
2005,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,20.6
2006,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,21.78
2007,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,25.65
2008,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,26.01
2009,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,26.31
2010,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.35
2011,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,20.25
2012,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.09
2013,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.09
2014,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.53
2015,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.95
2016,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.41
2017,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.6
2018,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.75
2019,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.08
2020,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.01
2021,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.69
2000,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,21.88
2001,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,22.21
2002,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.47
2003,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.19
2004,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.99
2005,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.3
2006,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.64
2007,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.0
2008,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.34
2009,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,22.39
2010,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.39
2011,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.69
2012,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.57
2013,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.51
2014,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.9
2015,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,27.62
2016,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,27.51
2017,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.75
2018,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.54
2019,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.5
2020,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.96
2021,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.19
2000,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.84
2001,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.23
2002,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.38
2003,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.14
2004,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.64
2005,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,12.6
2006,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,10.86
2007,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,9.56
2008,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,9.68
2009,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,12.01
2010,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.67
2011,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,15.22
2012,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,15.91
2013,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,17.42
2014,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,17.68
2015,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.67
2016,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.16
2017,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.23
2018,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.79
2019,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,19.68
2020,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.24
2021,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,21.29
2000,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,25.15
2001,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.21
2002,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.49
2003,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.47
2004,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.96
2005,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.43
2006,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.3
2007,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.27
2008,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.93
2009,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.27
2010,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.03
2011,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.77
2012,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,25.04
2013,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.81
2014,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.26
2015,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.76
2016,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.81
2017,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.84
2018,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.0
2019,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.32
2020,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,21.85
2021,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,21.38
2000,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.11
2001,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.03
2002,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.5
2003,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.86
2004,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,21.12
2005,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,22.62
2006,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.08
2007,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,21.81
2008,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.04
2009,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.73
2010,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.27
2011,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.4
2012,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.73
2013,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.26
2014,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.83
2015,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.25
2016,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.13
2017,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.98
2018,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.91
2019,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.52
2020,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.96
2021,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.42
2000,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,27.32
2001,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,27.36
2002,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,26.51
2003,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,24.13
2004,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,22.32
2005,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,21.25
2006,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,21.2
2007,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,20.29
2008,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,19.32
2009,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,16.8
2010,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,19.77
2011,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,19.99
2012,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,20.3
2013,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,20.68
2014,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,19.98
2015,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,20.37
2016,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,19.0
2017,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,16.73
2018,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,16.44
2019,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,30.69
2020,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,28.53
2021,LTU,Lituanie,"Couple, 2 children",net_average_tax_rate,100,67,29.7
2000,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,12.62
2001,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,11.59
2002,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,7.87
2003,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,8.57
2004,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,9.07
2005,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,10.02
2006,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,10.75
2007,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,12.18
2008,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,12.41
2009,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,11.63
2010,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,12.31
2011,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,14.02
2012,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,13.93
2013,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,15.45
2014,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,16.13
2015,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,17.12
2016,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,17.45
2017,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,15.33
2018,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,16.08
2019,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,16.66
2020,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,18.41
2021,LUX,Luxembourg,"Couple, 2 children",net_average_tax_rate,100,67,18.81
2000,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,30.06
2001,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,26.73
2002,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,26.64
2003,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,27.4
2004,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,28.05
2005,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,28.33
2006,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,26.47
2007,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,26.3
2008,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,26.84
2009,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,24.98
2010,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,24.95
2011,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,25.05
2012,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,24.74
2013,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,24.24
2014,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,23.07
2015,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,23.22
2016,NLD,Pays-Bas,"Couple, 2 children",net_average_tax_rate,100,67,21.57
