Year,REF_AREA,gov_spending
2013,LVA,1.883
2014,LVA,2.024
2015,LVA,2.263
2016,LVA,2.328
2017,LVA,2.328
2018,LVA,2.32
2019,LVA,2.337
2020,LVA,2.491
2021,LVA,2.882
2000,LTU,1.324
2001,LTU,1.169
2002,LTU,1.096
2003,LTU,1.011
2004,LTU,1.121
2005,LTU,1.722
2006,LTU,1.66
2007,LTU,1.658
2008,LTU,2.316
2009,LTU,3.451
2010,LTU,2.695
2011,LTU,2.184
2012,LTU,1.802
2013,LTU,1.588
2014,LTU,1.581
2015,LTU,1.624
2016,LTU,1.714
2017,LTU,1.779
2018,LTU,2.248
2019,LTU,2.441
2020,LTU,3.006
2021,LTU,2.815
2000,LUX,2.983
2001,LUX,3.057
2002,LUX,3.366
2003,LUX,3.74
2004,LUX,3.657
2005,LUX,3.569
2006,LUX,3.347
2007,LUX,2.929
2008,LUX,3.532
2009,LUX,3.766
2010,LUX,3.615
2011,LUX,3.382
2012,LUX,3.39
2013,LUX,3.312
2014,LUX,3.233
2015,LUX,3.167
2016,LUX,3.06
2017,LUX,3.145
2018,LUX,3.267
2019,LUX,3.329
2020,LUX,3.756
2021,LUX,3.194
2000,NLD,1.494
2001,NLD,1.49
2002,NLD,1.577
2003,NLD,1.659
2004,NLD,1.63
2005,NLD,1.589
2006,NLD,1.801
2007,NLD,1.288
2008,NLD,1.498
2009,NLD,1.634
2010,NLD,1.597
2011,NLD,1.564
2012,NLD,1.456
2013,NLD,1.388
2014,NLD,1.324
2015,NLD,1.438
2016,NLD,1.476
2017,NLD,1.466
2018,NLD,1.467
2019,NLD,1.543
2020,NLD,1.665
2021,NLD,1.62
2000,NOR,2.992
2001,NOR,3.123
2002,NOR,3.018
2003,NOR,3.065
2004,NOR,2.96
2005,NOR,2.78
2006,NOR,2.68
2007,NOR,2.733
2008,NOR,2.712
2009,NOR,3.17
2010,NOR,3.132
2011,NOR,3.09
2012,NOR,3.027
2013,NOR,3.069
2014,NOR,3.14
2015,NOR,3.246
2016,NOR,3.345
2017,NOR,3.215
