Year,REF_AREA,Country,Age,% Population,Value_population
2003,EST,Estonie,65+,16.02,219565.0
2004,EST,Estonie,65+,16.38,223200.0
2005,EST,Estonie,65+,16.72,226505.0
2006,EST,Estonie,65+,17.08,229990.0
2007,EST,Estonie,65+,17.37,232885.0
2008,EST,Estonie,65+,17.44,233235.0
2009,EST,Estonie,65+,17.43,232630.0
2010,EST,Estonie,65+,17.44,232235.0
2011,EST,Estonie,65+,17.58,233324.0
2012,EST,Estonie,65+,17.87,236336.0
2013,EST,Estonie,65+,18.2,239918.0
2014,EST,Estonie,65+,18.57,244067.0
2015,EST,Estonie,65+,18.89,248337.0
2016,EST,Estonie,65+,19.18,252399.0
2017,EST,Estonie,65+,19.47,256429.0
2018,EST,Estonie,65+,19.68,260115.0
2019,EST,Estonie,65+,19.9,264025.0
2020,EST,Estonie,65+,20.19,268421.0
2021,EST,Estonie,65+,20.39,271394.0
2022,EST,Estonie,65+,20.34,274300.0
1990,HUN,Hongrie,65+,13.35,1384803.0
1991,HUN,Hongrie,65+,13.55,1405204.0
1992,HUN,Hongrie,65+,13.7,1420792.0
1993,HUN,Hongrie,65+,13.85,1434535.0
1994,HUN,Hongrie,65+,14.02,1450113.0
1995,HUN,Hongrie,65+,14.21,1468120.0
1996,HUN,Hongrie,65+,14.4,1484381.0
1997,HUN,Hongrie,65+,14.56,1498723.0
1998,HUN,Hongrie,65+,14.75,1514169.0
1999,HUN,Hongrie,65+,14.91,1526240.0
2000,HUN,Hongrie,65+,15.06,1538020.0
2001,HUN,Hongrie,65+,15.2,1548449.0
2002,HUN,Hongrie,65+,15.31,1555580.0
2003,HUN,Hongrie,65+,15.43,1563168.0
2004,HUN,Hongrie,65+,15.56,1572343.0
2005,HUN,Hongrie,65+,15.7,1584153.0
2006,HUN,Hongrie,65+,15.87,1597914.0
2007,HUN,Hongrie,65+,16.06,1614506.0
2008,HUN,Hongrie,65+,16.26,1632087.0
2009,HUN,Hongrie,65+,16.48,1651876.0
2010,HUN,Hongrie,65+,16.67,1667307.0
2011,HUN,Hongrie,65+,16.8,1673522.0
1990,ISL,Islande,65+,10.64,27110.0
1991,ISL,Islande,65+,10.73,27655.0
1992,ISL,Islande,65+,10.81,28218.0
1993,ISL,Islande,65+,10.92,28793.0
1994,ISL,Islande,65+,11.05,29395.0
1995,ISL,Islande,65+,11.24,30056.0
1996,ISL,Islande,65+,11.4,30665.0
1997,ISL,Islande,65+,11.51,31213.0
1998,ISL,Islande,65+,11.57,31702.0
1999,ISL,Islande,65+,11.58,32109.0
2000,ISL,Islande,65+,11.57,32547.0
2001,ISL,Islande,65+,11.6,33062.0
2002,ISL,Islande,65+,11.67,33558.0
2003,ISL,Islande,65+,11.73,33975.0
2004,ISL,Islande,65+,11.77,34370.0
2005,ISL,Islande,65+,11.73,34812.0
2006,ISL,Islande,65+,11.63,35335.0
2007,ISL,Islande,65+,11.56,36017.0
2008,ISL,Islande,65+,11.59,36789.0
2009,ISL,Islande,65+,11.81,37621.0
2010,ISL,Islande,65+,12.14,38624.0
1990,LVA,Lettonie,65+,11.83,314950.0
1991,LVA,Lettonie,65+,12.07,319949.0
1992,LVA,Lettonie,65+,12.54,327799.0
1993,LVA,Lettonie,65+,12.97,332573.0
1994,LVA,Lettonie,65+,13.31,335618.0
1995,LVA,Lettonie,65+,13.61,338105.0
1996,LVA,Lettonie,65+,13.93,342221.0
1997,LVA,Lettonie,65+,14.26,347024.0
1998,LVA,Lettonie,65+,14.55,350567.0
1999,LVA,Lettonie,65+,14.74,352452.0
2000,LVA,Lettonie,65+,14.96,354220.0
2001,LVA,Lettonie,65+,15.25,356527.0
2002,LVA,Lettonie,65+,15.63,361059.0
2003,LVA,Lettonie,65+,16.04,366967.0
2004,LVA,Lettonie,65+,16.44,372046.0
2005,LVA,Lettonie,65+,16.82,376540.0
2006,LVA,Lettonie,65+,17.2,381478.0
2007,LVA,Lettonie,65+,17.49,384946.0
2008,LVA,Lettonie,65+,17.71,385572.0
2009,LVA,Lettonie,65+,17.97,384821.0
2010,LVA,Lettonie,65+,18.24,382658.0
2011,LVA,Lettonie,65+,18.47,380341.0
2012,LVA,Lettonie,65+,18.66,379663.0
2013,LVA,Lettonie,65+,18.92,380697.0
2014,LVA,Lettonie,65+,19.23,383348.0
2015,LVA,Lettonie,65+,19.51,385827.0
2016,LVA,Lettonie,65+,19.76,387246.0
2017,LVA,Lettonie,65+,20.0,388381.0
2018,LVA,Lettonie,65+,20.18,388917.0
2019,LVA,Lettonie,65+,20.39,390195.0
2020,LVA,Lettonie,65+,20.66,392555.0
2021,LVA,Lettonie,65+,20.84,392658.0
2022,LVA,Lettonie,65+,20.93,393268.0
1990,LTU,Lituanie,65+,10.92,403913.0
1991,LTU,Lituanie,65+,11.15,412964.0
1992,LTU,Lituanie,65+,11.42,422519.0
1993,LTU,Lituanie,65+,11.74,432318.0
1994,LTU,Lituanie,65+,12.04,440316.0
1995,LTU,Lituanie,65+,12.34,447855.0
1996,LTU,Lituanie,65+,12.66,455994.0
1997,LTU,Lituanie,65+,12.99,464441.0
1998,LTU,Lituanie,65+,13.33,473028.0
1999,LTU,Lituanie,65+,13.61,479775.0
2000,LTU,Lituanie,65+,13.82,483646.0
2001,LTU,Lituanie,65+,14.19,492535.0
2002,LTU,Lituanie,65+,14.7,506297.0
2003,LTU,Lituanie,65+,15.17,518167.0
2004,LTU,Lituanie,65+,15.62,527633.0
2005,LTU,Lituanie,65+,16.06,533531.0
2006,LTU,Lituanie,65+,16.47,538507.0
2007,LTU,Lituanie,65+,16.82,543504.0
2008,LTU,Lituanie,65+,17.1,546843.0
2009,LTU,Lituanie,65+,17.27,546322.0
2010,LTU,Lituanie,65+,17.6,545101.0
2011,LTU,Lituanie,65+,17.98,544320.0
2012,LTU,Lituanie,65+,18.17,542765.0
2013,LTU,Lituanie,65+,18.34,542468.0
2014,LTU,Lituanie,65+,18.58,544927.0
2015,LTU,Lituanie,65+,18.86,547820.0
2016,LTU,Lituanie,65+,19.15,549363.0
2017,LTU,Lituanie,65+,19.48,550998.0
2018,LTU,Lituanie,65+,19.71,552085.0
2019,LTU,Lituanie,65+,19.83,554174.0
2020,LTU,Lituanie,65+,19.91,556511.0
2021,LTU,Lituanie,65+,19.95,560283.0
1990,LUX,Luxembourg,65+,13.42,51246.0
1991,LUX,Luxembourg,65+,13.49,52216.0
1992,LUX,Luxembourg,65+,13.59,53292.0
1993,LUX,Luxembourg,65+,13.7,54469.0
1994,LUX,Luxembourg,65+,13.85,55787.0
1995,LUX,Luxembourg,65+,14.01,57234.0
1996,LUX,Luxembourg,65+,14.15,58625.0
1997,LUX,Luxembourg,65+,14.24,59711.0
1998,LUX,Luxembourg,65+,14.27,60613.0
1999,LUX,Luxembourg,65+,14.28,61479.0
2000,LUX,Luxembourg,65+,14.08,61419.0
2001,LUX,Luxembourg,65+,13.91,61431.0
2002,LUX,Luxembourg,65+,13.99,62401.0
2003,LUX,Luxembourg,65+,14.01,63261.0
2004,LUX,Luxembourg,65+,14.03,64293.0
2005,LUX,Luxembourg,65+,14.08,65475.0
2006,LUX,Luxembourg,65+,14.05,66414.0
2007,LUX,Luxembourg,65+,14.01,67260.0
2008,LUX,Luxembourg,65+,13.98,68292.0
2009,LUX,Luxembourg,65+,13.96,69466.0
2010,LUX,Luxembourg,65+,13.92,70563.0
2011,LUX,Luxembourg,65+,13.92,72174.0
2012,LUX,Luxembourg,65+,13.97,74159.0
2013,LUX,Luxembourg,65+,14.03,76214.0
2014,LUX,Luxembourg,65+,14.13,78607.0
2015,LUX,Luxembourg,65+,14.2,80898.0
2016,LUX,Luxembourg,65+,14.23,83041.0
2017,LUX,Luxembourg,65+,14.28,85169.0
2018,LUX,Luxembourg,65+,14.35,87267.0
2019,LUX,Luxembourg,65+,14.44,89559.0
2020,LUX,Luxembourg,65+,14.56,91759.0
2021,LUX,Luxembourg,65+,14.68,93968.0
2022,LUX,Luxembourg,65+,14.81,96713.0
1990,POL,Pologne,65+,10.1,3842500.0
1991,POL,Pologne,65+,10.32,3931500.0
1992,POL,Pologne,65+,10.54,4023000.0
1993,POL,Pologne,65+,10.78,4120000.0
1994,POL,Pologne,65+,11.0,4206000.0
1995,POL,Pologne,65+,11.19,4282000.0
1996,POL,Pologne,65+,11.39,4362000.0
1997,POL,Pologne,65+,11.6,4442000.0
1998,POL,Pologne,65+,11.81,4523000.0
1999,POL,Pologne,65+,12.03,4603500.0
2000,POL,Pologne,65+,12.24,4684388.0
2001,POL,Pologne,65+,12.47,4768323.0
2002,POL,Pologne,65+,12.71,4861196.0
2003,POL,Pologne,65+,12.86,4911867.0
2004,POL,Pologne,65+,13.05,4980690.0
2005,POL,Pologne,65+,13.21,5039823.0
2006,POL,Pologne,65+,13.35,5090600.0
2007,POL,Pologne,65+,13.44,5120904.0
2008,POL,Pologne,65+,13.47,5133437.0
2009,POL,Pologne,65+,13.49,5146294.0
2010,POL,Pologne,65+,13.45,5178696.0
2011,POL,Pologne,65+,13.64,5252981.0
2012,POL,Pologne,65+,14.02,5403640.0
2013,POL,Pologne,65+,14.47,5572279.0
2014,POL,Pologne,65+,15.0,5772255.0
2015,POL,Pologne,65+,15.52,5968524.0
2016,POL,Pologne,65+,16.1,6186885.0
2017,POL,Pologne,65+,16.66,6402373.0
2018,POL,Pologne,65+,17.23,6618694.0
2019,POL,Pologne,65+,17.81,6835529.0
2022,POL,Pologne,65+,19.18,7255004.0
1990,ESP,Espagne,65+,13.58,5275669.0
1991,ESP,Espagne,65+,13.91,5415687.0
1992,ESP,Espagne,65+,14.2,5557238.0
1993,ESP,Espagne,65+,14.49,5704444.0
1994,ESP,Espagne,65+,14.81,5857732.0
1995,ESP,Espagne,65+,15.15,6015656.0
1996,ESP,Espagne,65+,15.47,6171390.0
1997,ESP,Espagne,65+,15.79,6324249.0
1998,ESP,Espagne,65+,16.12,6482789.0
1999,ESP,Espagne,65+,16.39,6616985.0
2000,ESP,Espagne,65+,16.64,6749830.0
2001,ESP,Espagne,65+,16.92,6898556.0
2002,ESP,Espagne,65+,16.96,7026593.0
2003,ESP,Espagne,65+,16.87,7119244.0
2004,ESP,Espagne,65+,16.69,7154260.0
2005,ESP,Espagne,65+,16.56,7230328.0
2006,ESP,Espagne,65+,16.6,7362321.0
2007,ESP,Espagne,65+,16.47,7451435.0
2008,ESP,Espagne,65+,16.48,7577395.0
2009,ESP,Espagne,65+,16.66,7727114.0
2010,ESP,Espagne,65+,16.95,7892790.0
2011,ESP,Espagne,65+,17.23,8052204.0
1990,GBR,Royaume-Uni,65+,15.73,9003365.0
1991,GBR,Royaume-Uni,65+,15.77,9058984.0
1992,GBR,Royaume-Uni,65+,15.81,9102309.0
1993,GBR,Royaume-Uni,65+,15.83,9136671.0
1994,GBR,Royaume-Uni,65+,15.82,9154184.0
1995,GBR,Royaume-Uni,65+,15.85,9195857.0
1996,GBR,Royaume-Uni,65+,15.86,9223223.0
1997,GBR,Royaume-Uni,65+,15.85,9243550.0
1998,GBR,Royaume-Uni,65+,15.85,9270018.0
1999,GBR,Royaume-Uni,65+,15.81,9277504.0
2000,GBR,Royaume-Uni,65+,15.81,9307797.0
2001,GBR,Royaume-Uni,65+,15.86,9372838.0
2002,GBR,Royaume-Uni,65+,15.88,9429824.0
2003,GBR,Royaume-Uni,65+,15.91,9489469.0
2004,GBR,Royaume-Uni,65+,15.93,9549593.0
2005,GBR,Royaume-Uni,65+,15.92,9614948.0
2006,GBR,Royaume-Uni,65+,15.87,9654253.0
2007,GBR,Royaume-Uni,65+,15.89,9742975.0
2008,GBR,Royaume-Uni,65+,16.0,9893628.0
2009,GBR,Royaume-Uni,65+,16.18,10071808.0
2010,GBR,Royaume-Uni,65+,16.35,10262727.0
2011,GBR,Royaume-Uni,65+,16.53,10458186.0
1990,BGR,Bulgarie,65+,13.17,1148618.0
1991,BGR,Bulgarie,65+,13.61,1174577.0
1992,BGR,Bulgarie,65+,14.03,1198317.0
1993,BGR,Bulgarie,65+,14.41,1221141.0
1994,BGR,Bulgarie,65+,14.72,1242757.0
1995,BGR,Bulgarie,65+,15.01,1262090.0
1996,BGR,Bulgarie,65+,15.26,1275827.0
1997,BGR,Bulgarie,65+,15.48,1286648.0
1998,BGR,Bulgarie,65+,15.74,1299620.0
1999,BGR,Bulgarie,65+,16.02,1314955.0
2000,BGR,Bulgarie,65+,16.25,1327988.0
2001,BGR,Bulgarie,65+,16.66,1334124.0
2010,BGR,Bulgarie,65+,18.31,1354457.0
2014,BGR,Bulgarie,65+,19.78,1428998.0
2016,BGR,Bulgarie,65+,20.58,1466951.0
2017,BGR,Bulgarie,65+,20.87,1477012.0
2020,BGR,Bulgarie,65+,21.69,1504067.0
2001,HRV,Croatie,65+,16.31,701299.0
2002,HRV,Croatie,65+,16.65,716419.0
2003,HRV,Croatie,65+,16.94,729013.0
2004,HRV,Croatie,65+,17.17,739301.0
2005,HRV,Croatie,65+,17.41,750406.0
2006,HRV,Croatie,65+,17.6,758738.0
2007,HRV,Croatie,65+,17.76,765568.0
2008,HRV,Croatie,65+,17.85,769239.0
2009,HRV,Croatie,65+,17.87,769314.0
2010,HRV,Croatie,65+,17.81,765185.0
2011,HRV,Croatie,65+,17.75,759637.0
2021,HRV,Croatie,65+,22.36,867227.0
1990,ROU,Roumanie,65+,10.41,2415225.0
1991,ROU,Roumanie,65+,10.78,2478641.0
1992,ROU,Roumanie,65+,11.13,2537741.0
1993,ROU,Roumanie,65+,11.41,2597634.0
1994,ROU,Roumanie,65+,11.7,2659104.0
1995,ROU,Roumanie,65+,12.0,2721201.0
1996,ROU,Roumanie,65+,12.27,2775525.0
1997,ROU,Roumanie,65+,12.55,2831334.0
1998,ROU,Roumanie,65+,12.84,2889214.0
1999,ROU,Roumanie,65+,13.07,2936991.0
2000,ROU,Roumanie,65+,13.32,2989237.0
2001,ROU,Roumanie,65+,13.69,3030163.0
2002,ROU,Roumanie,65+,14.09,3054625.0
2003,ROU,Roumanie,65+,14.13,3047676.0
2004,ROU,Roumanie,65+,14.14,3034216.0
2005,ROU,Roumanie,65+,14.47,3085509.0
2006,ROU,Roumanie,65+,14.79,3133537.0
2007,ROU,Roumanie,65+,15.11,3154644.0
2008,ROU,Roumanie,65+,15.79,3243224.0
2009,ROU,Roumanie,65+,16.14,3287022.0
2010,ROU,Roumanie,65+,16.13,3265464.0
2011,ROU,Roumanie,65+,16.13,3249485.0
2012,ROU,Roumanie,65+,16.21,3251056.0
2013,ROU,Roumanie,65+,16.4,3278066.0
2014,ROU,Roumanie,65+,16.75,3336458.0
2015,ROU,Roumanie,65+,17.19,3406678.0
2016,ROU,Roumanie,65+,17.59,3466274.0
2017,ROU,Roumanie,65+,17.98,3523198.0
2018,ROU,Roumanie,65+,18.34,3573840.0
1990,AUT,Autriche,20-,24.22,1859455.0
1991,AUT,Autriche,20-,23.99,1860494.0
1992,AUT,Autriche,20-,23.86,1870456.0
1993,AUT,Autriche,20-,23.76,1878434.0
1994,AUT,Autriche,20-,23.66,1877700.0
1995,AUT,Autriche,20-,23.57,1873469.0
1996,AUT,Autriche,20-,23.51,1871323.0
1997,AUT,Autriche,20-,23.45,1868846.0
1998,AUT,Autriche,20-,23.38,1864746.0
1999,AUT,Autriche,20-,23.27,1859988.0
2000,AUT,Autriche,20-,23.1,1850715.0
2001,AUT,Autriche,20-,22.83,1835949.0
1990,EST,Estonie,20-,29.21,458323.0
1991,EST,Estonie,20-,29.03,453178.0
1992,EST,Estonie,20-,28.73,440517.0
1993,EST,Estonie,20-,28.35,423547.0
1994,EST,Estonie,20-,27.97,409035.0
1995,EST,Estonie,20-,27.62,396776.0
1996,EST,Estonie,20-,27.24,385677.0
1997,EST,Estonie,20-,26.84,375640.0
1998,EST,Estonie,20-,26.44,366501.0
1999,EST,Estonie,20-,26.02,357989.0
2000,EST,Estonie,20-,24.93,348325.0
2001,EST,Estonie,20-,24.5,340030.0
2002,EST,Estonie,20-,24.06,331825.0
2003,EST,Estonie,20-,23.6,323550.0
2004,EST,Estonie,20-,23.15,315415.0
2005,EST,Estonie,20-,22.75,308180.0
2006,EST,Estonie,20-,22.39,301500.0
2007,EST,Estonie,20-,22.03,295335.0
2008,EST,Estonie,20-,21.66,289630.0
2009,EST,Estonie,20-,21.29,284120.0
2010,EST,Estonie,20-,20.98,279325.0
2011,EST,Estonie,20-,20.77,275759.0
2012,EST,Estonie,20-,20.6,272537.0
2013,EST,Estonie,20-,20.49,270089.0
2014,EST,Estonie,20-,20.49,269387.0
2015,EST,Estonie,20-,20.57,270411.0
2016,EST,Estonie,20-,20.69,272269.0
2017,EST,Estonie,20-,20.82,274277.0
2018,EST,Estonie,20-,20.96,277025.0
2019,EST,Estonie,20-,21.11,280135.0
2020,EST,Estonie,20-,21.23,282199.0
2021,EST,Estonie,20-,21.31,283578.0
2022,EST,Estonie,20-,21.52,290211.0
1990,HUN,Hongrie,20-,27.84,2887975.0
1991,HUN,Hongrie,20-,27.67,2870509.0
1992,HUN,Hongrie,20-,27.48,2849915.0
1993,HUN,Hongrie,20-,27.24,2821140.0
1994,HUN,Hongrie,20-,26.82,2773906.0
1995,HUN,Hongrie,20-,26.21,2706821.0
1996,HUN,Hongrie,20-,25.57,2636308.0
1997,HUN,Hongrie,20-,24.96,2568561.0
1998,HUN,Hongrie,20-,24.39,2503692.0
1999,HUN,Hongrie,20-,23.85,2441811.0
2000,HUN,Hongrie,20-,23.37,2385945.0
2001,HUN,Hongrie,20-,22.95,2337827.0
2002,HUN,Hongrie,20-,22.61,2296828.0
2003,HUN,Hongrie,20-,22.33,2261951.0
2004,HUN,Hongrie,20-,22.06,2229765.0
2005,HUN,Hongrie,20-,21.78,2197347.0
2006,HUN,Hongrie,20-,21.52,2166980.0
2007,HUN,Hongrie,20-,21.29,2140971.0
2008,HUN,Hongrie,20-,21.08,2116275.0
2009,HUN,Hongrie,20-,20.88,2092272.0
2010,HUN,Hongrie,20-,20.63,2063429.0
2011,HUN,Hongrie,20-,20.46,2037464.0
1990,ISL,Islande,20-,33.27,84775.0
1991,ISL,Islande,20-,33.13,85410.0
1992,ISL,Islande,20-,32.92,85949.0
1993,ISL,Islande,20-,32.7,86228.0
1994,ISL,Islande,20-,32.49,86427.0
1995,ISL,Islande,20-,32.28,86335.0
1996,ISL,Islande,20-,32.03,86138.0
1997,ISL,Islande,20-,31.81,86256.0
1998,ISL,Islande,20-,31.58,86558.0
1999,ISL,Islande,20-,31.28,86767.0
2000,ISL,Islande,20-,30.91,86929.0
2001,ISL,Islande,20-,30.53,86992.0
2002,ISL,Islande,20-,30.18,86785.0
2003,ISL,Islande,20-,29.93,86655.0
2004,ISL,Islande,20-,29.71,86777.0
2005,ISL,Islande,20-,29.41,87278.0
2006,ISL,Islande,20-,29.0,88085.0
2007,ISL,Islande,20-,28.59,89075.0
2008,ISL,Islande,20-,28.37,90060.0
2009,ISL,Islande,20-,28.38,90376.0
2010,ISL,Islande,20-,28.32,90069.0
1990,LVA,Lettonie,20-,28.37,755438.0
1991,LVA,Lettonie,20-,28.22,748088.0
1992,LVA,Lettonie,20-,27.97,731241.0
1993,LVA,Lettonie,20-,27.76,711524.0
1994,LVA,Lettonie,20-,27.54,694158.0
1995,LVA,Lettonie,20-,27.27,677784.0
1996,LVA,Lettonie,20-,26.91,661298.0
1997,LVA,Lettonie,20-,26.5,644721.0
1998,LVA,Lettonie,20-,26.08,628601.0
1999,LVA,Lettonie,20-,25.66,613437.0
2000,LVA,Lettonie,20-,25.24,597666.0
2001,LVA,Lettonie,20-,24.82,580179.0
2002,LVA,Lettonie,20-,24.38,563164.0
2003,LVA,Lettonie,20-,23.86,546006.0
2004,LVA,Lettonie,20-,23.31,527470.0
2005,LVA,Lettonie,20-,22.76,509624.0
2006,LVA,Lettonie,20-,22.22,492977.0
2007,LVA,Lettonie,20-,21.69,477162.0
2008,LVA,Lettonie,20-,21.22,462098.0
2009,LVA,Lettonie,20-,20.8,445569.0
2010,LVA,Lettonie,20-,20.34,426711.0
2011,LVA,Lettonie,20-,19.9,409819.0
2012,LVA,Lettonie,20-,19.53,397341.0
2013,LVA,Lettonie,20-,19.33,389085.0
2014,LVA,Lettonie,20-,19.35,385866.0
2015,LVA,Lettonie,20-,19.52,386025.0
2016,LVA,Lettonie,20-,19.8,387964.0
2017,LVA,Lettonie,20-,20.12,390757.0
2018,LVA,Lettonie,20-,20.4,393064.0
2019,LVA,Lettonie,20-,20.61,394361.0
2020,LVA,Lettonie,20-,20.74,394126.0
2021,LVA,Lettonie,20-,20.86,393191.0
2022,LVA,Lettonie,20-,21.04,395488.0
1990,LTU,Lituanie,20-,29.99,1109011.0
1991,LTU,Lituanie,20-,29.77,1102688.0
1992,LTU,Lituanie,20-,29.54,1093092.0
1993,LTU,Lituanie,20-,29.3,1078982.0
1994,LTU,Lituanie,20-,29.03,1061648.0
1995,LTU,Lituanie,20-,28.76,1043565.0
1996,LTU,Lituanie,20-,28.49,1026072.0
1997,LTU,Lituanie,20-,28.23,1009180.0
1998,LTU,Lituanie,20-,27.99,993443.0
1999,LTU,Lituanie,20-,27.75,978091.0
2000,LTU,Lituanie,20-,27.45,960595.0
2001,LTU,Lituanie,20-,27.01,937327.0
2002,LTU,Lituanie,20-,26.44,910229.0
2003,LTU,Lituanie,20-,25.79,880709.0
2004,LTU,Lituanie,20-,25.13,848492.0
2005,LTU,Lituanie,20-,24.47,813161.0
2006,LTU,Lituanie,20-,23.85,779910.0
2007,LTU,Lituanie,20-,23.29,752589.0
2008,LTU,Lituanie,20-,22.81,729616.0
2009,LTU,Lituanie,20-,22.43,709568.0
2010,LTU,Lituanie,20-,22.11,684742.0
2011,LTU,Lituanie,20-,21.73,657992.0
2012,LTU,Lituanie,20-,21.26,635113.0
2013,LTU,Lituanie,20-,20.82,615783.0
2014,LTU,Lituanie,20-,20.51,601572.0
2015,LTU,Lituanie,20-,20.34,590875.0
2016,LTU,Lituanie,20-,20.24,580531.0
2017,LTU,Lituanie,20-,20.16,570155.0
2018,LTU,Lituanie,20-,20.06,561907.0
2019,LTU,Lituanie,20-,19.91,556173.0
2020,LTU,Lituanie,20-,19.74,551659.0
2021,LTU,Lituanie,20-,19.47,546714.0
1990,LUX,Luxembourg,20-,23.17,88483.0
1991,LUX,Luxembourg,20-,23.19,89740.0
1992,LUX,Luxembourg,20-,23.26,91224.0
1993,LUX,Luxembourg,20-,23.44,93167.0
1994,LUX,Luxembourg,20-,23.66,95350.0
1995,LUX,Luxembourg,20-,23.86,97480.0
1996,LUX,Luxembourg,20-,24.01,99452.0
1997,LUX,Luxembourg,20-,24.15,101315.0
1998,LUX,Luxembourg,20-,24.28,103109.0
1999,LUX,Luxembourg,20-,24.38,104946.0
2000,LUX,Luxembourg,20-,24.5,106901.0
2001,LUX,Luxembourg,20-,24.54,108365.0
2002,LUX,Luxembourg,20-,24.48,109227.0
2003,LUX,Luxembourg,20-,24.43,110340.0
2004,LUX,Luxembourg,20-,24.38,111681.0
2005,LUX,Luxembourg,20-,24.31,113088.0
2006,LUX,Luxembourg,20-,24.23,114529.0
2007,LUX,Luxembourg,20-,24.13,115805.0
2008,LUX,Luxembourg,20-,23.96,117085.0
2009,LUX,Luxembourg,20-,23.77,118324.0
2010,LUX,Luxembourg,20-,23.61,119671.0
2011,LUX,Luxembourg,20-,23.34,120981.0
2012,LUX,Luxembourg,20-,23.06,122451.0
2013,LUX,Luxembourg,20-,22.86,124186.0
2014,LUX,Luxembourg,20-,22.59,125670.0
2015,LUX,Luxembourg,20-,22.33,127208.0
2016,LUX,Luxembourg,20-,22.05,128625.0
2017,LUX,Luxembourg,20-,21.75,129703.0
2018,LUX,Luxembourg,20-,21.55,131026.0
2019,LUX,Luxembourg,20-,21.39,132609.0
2020,LUX,Luxembourg,20-,21.25,133936.0
2021,LUX,Luxembourg,20-,21.14,135291.0
2022,LUX,Luxembourg,20-,21.07,137601.0
1990,POL,Pologne,20-,32.03,12183000.0
1991,POL,Pologne,20-,31.59,12039500.0
1992,POL,Pologne,20-,31.14,11887000.0
1993,POL,Pologne,20-,30.68,11727500.0
1994,POL,Pologne,20-,30.28,11582000.0
1995,POL,Pologne,20-,29.9,11444500.0
1996,POL,Pologne,20-,29.52,11303000.0
1997,POL,Pologne,20-,29.14,11157500.0
1998,POL,Pologne,20-,28.75,11006000.0
1999,POL,Pologne,20-,28.54,10922500.0
2000,POL,Pologne,20-,28.17,10776411.0
2001,POL,Pologne,20-,27.44,10496726.0
2002,POL,Pologne,20-,26.65,10190156.0
2003,POL,Pologne,20-,25.81,9859517.0
2004,POL,Pologne,20-,24.94,9522812.0
2005,POL,Pologne,20-,24.14,9210605.0
2006,POL,Pologne,20-,23.43,8933387.0
2007,POL,Pologne,20-,22.85,8708423.0
2008,POL,Pologne,20-,22.37,8526715.0
2009,POL,Pologne,20-,21.99,8390237.0
2010,POL,Pologne,20-,21.68,8350025.0
2011,POL,Pologne,20-,21.29,8203824.0
2012,POL,Pologne,20-,20.96,8074958.0
2013,POL,Pologne,20-,20.66,7953407.0
2014,POL,Pologne,20-,20.39,7846391.0
2015,POL,Pologne,20-,20.2,7766256.0
2016,POL,Pologne,20-,20.06,7708552.0
2017,POL,Pologne,20-,20.02,7691544.0
2018,POL,Pologne,20-,20.02,7690312.0
2019,POL,Pologne,20-,20.02,7685779.0
2022,POL,Pologne,20-,20.26,7665599.0
1990,ESP,Espagne,20-,28.44,11053044.0
1991,ESP,Espagne,20-,27.72,10795020.0
1992,ESP,Espagne,20-,27.01,10575768.0
1993,ESP,Espagne,20-,26.3,10350012.0
1994,ESP,Espagne,20-,25.54,10102071.0
1995,ESP,Espagne,20-,24.74,9826579.0
1996,ESP,Espagne,20-,23.93,9545880.0
1997,ESP,Espagne,20-,23.16,9275992.0
1998,ESP,Espagne,20-,22.42,9015609.0
1999,ESP,Espagne,20-,21.75,8781231.0
2000,ESP,Espagne,20-,21.19,8592602.0
2001,ESP,Espagne,20-,20.71,8441541.0
2002,ESP,Espagne,20-,20.34,8427374.0
2003,ESP,Espagne,20-,20.13,8494393.0
2004,ESP,Espagne,20-,19.94,8547310.0
2005,ESP,Espagne,20-,19.77,8632833.0
2006,ESP,Espagne,20-,19.72,8748764.0
2007,ESP,Espagne,20-,19.7,8909247.0
2008,ESP,Espagne,20-,19.73,9072115.0
2009,ESP,Espagne,20-,19.77,9168642.0
2010,ESP,Espagne,20-,19.78,9210142.0
2011,ESP,Espagne,20-,19.8,9253054.0
1990,GBR,Royaume-Uni,20-,25.81,14774429.0
1991,GBR,Royaume-Uni,20-,25.64,14727594.0
1992,GBR,Royaume-Uni,20-,25.49,14676044.0
1993,GBR,Royaume-Uni,20-,25.38,14649018.0
1994,GBR,Royaume-Uni,20-,25.37,14678795.0
1995,GBR,Royaume-Uni,20-,25.36,14714864.0
1996,GBR,Royaume-Uni,20-,25.38,14761546.0
1997,GBR,Royaume-Uni,20-,25.46,14846378.0
1998,GBR,Royaume-Uni,20-,25.48,14900765.0
1999,GBR,Royaume-Uni,20-,25.41,14910300.0
2000,GBR,Royaume-Uni,20-,25.19,14836242.0
2001,GBR,Royaume-Uni,20-,25.01,14784728.0
2002,GBR,Royaume-Uni,20-,24.9,14781524.0
2003,GBR,Royaume-Uni,20-,24.82,14799737.0
2004,GBR,Royaume-Uni,20-,24.7,14808841.0
2005,GBR,Royaume-Uni,20-,24.51,14806623.0
2006,GBR,Royaume-Uni,20-,24.36,14815818.0
2007,GBR,Royaume-Uni,20-,24.26,14878422.0
2008,GBR,Royaume-Uni,20-,24.16,14933600.0
2009,GBR,Royaume-Uni,20-,24.09,14999164.0
2010,GBR,Royaume-Uni,20-,23.99,15054936.0
2011,GBR,Royaume-Uni,20-,23.84,15089196.0
