Year,REF_AREA,Country,Program,Spending_type,Value of GDP %
2002,IRL,Irlande,family_total,in_kind,0.514
2003,IRL,Irlande,family_total,in_kind,0.547
2004,IRL,Irlande,family_total,in_kind,0.563
2005,IRL,Irlande,family_total,in_kind,0.51
2006,IRL,Irlande,family_total,in_kind,0.522
2007,IRL,Irlande,family_total,in_kind,0.559
2008,IRL,Irlande,family_total,in_kind,0.656
2009,IRL,Irlande,family_total,in_kind,0.767
2010,IRL,Irlande,family_total,in_kind,0.842
2011,IRL,Irlande,family_total,in_kind,0.784
2012,IRL,Irlande,family_total,in_kind,0.802
2013,IRL,Irlande,family_total,in_kind,0.743
2014,IRL,Irlande,family_total,in_kind,0.69
2015,IRL,Irlande,family_total,in_kind,0.538
2016,IRL,Irlande,family_total,in_kind,0.567
2017,IRL,Irlande,family_total,in_kind,0.542
2018,IRL,Irlande,family_total,in_kind,0.54
2019,IRL,Irlande,family_total,in_kind,0.539
2020,IRL,Irlande,family_total,in_kind,0.49
2021,IRL,Irlande,family_total,in_kind,0.457
2000,ITA,Italie,family_total,in_kind,0.566
2001,ITA,Italie,family_total,in_kind,0.594
2002,ITA,Italie,family_total,in_kind,0.527
2003,ITA,Italie,family_total,in_kind,0.584
2004,ITA,Italie,family_total,in_kind,0.595
2005,ITA,Italie,family_total,in_kind,0.603
2006,ITA,Italie,family_total,in_kind,0.656
2007,ITA,Italie,family_total,in_kind,0.634
2008,ITA,Italie,family_total,in_kind,0.667
2009,ITA,Italie,family_total,in_kind,0.68
2010,ITA,Italie,family_total,in_kind,0.656
2011,ITA,Italie,family_total,in_kind,0.631
2012,ITA,Italie,family_total,in_kind,0.649
2013,ITA,Italie,family_total,in_kind,0.654
2014,ITA,Italie,family_total,in_kind,0.656
2015,ITA,Italie,family_total,in_kind,0.666
2016,ITA,Italie,family_total,in_kind,0.627
2017,ITA,Italie,family_total,in_kind,0.632
2018,ITA,Italie,family_total,in_kind,0.642
2019,ITA,Italie,family_total,in_kind,0.651
2020,ITA,Italie,family_total,in_kind,0.663
2021,ITA,Italie,family_total,in_kind,0.588
2000,LVA,Lettonie,family_total,in_kind,0.273
2001,LVA,Lettonie,family_total,in_kind,0.273
2002,LVA,Lettonie,family_total,in_kind,0.279
2003,LVA,Lettonie,family_total,in_kind,0.255
2004,LVA,Lettonie,family_total,in_kind,0.241
2005,LVA,Lettonie,family_total,in_kind,0.222
2006,LVA,Lettonie,family_total,in_kind,0.208
2007,LVA,Lettonie,family_total,in_kind,0.201
2008,LVA,Lettonie,family_total,in_kind,0.839
2009,LVA,Lettonie,family_total,in_kind,0.998
2010,LVA,Lettonie,family_total,in_kind,0.916
2011,LVA,Lettonie,family_total,in_kind,0.941
2012,LVA,Lettonie,family_total,in_kind,0.873
2013,LVA,Lettonie,family_total,in_kind,0.916
2014,LVA,Lettonie,family_total,in_kind,0.963
2015,LVA,Lettonie,family_total,in_kind,0.954
2016,LVA,Lettonie,family_total,in_kind,0.925
2017,LVA,Lettonie,family_total,in_kind,0.939
2018,LVA,Lettonie,family_total,in_kind,0.881
2019,LVA,Lettonie,family_total,in_kind,0.914
2020,LVA,Lettonie,family_total,in_kind,0.997
2021,LVA,Lettonie,family_total,in_kind,0.925
2000,LTU,Lituanie,family_total,in_kind,0.386
2001,LTU,Lituanie,family_total,in_kind,0.362
2002,LTU,Lituanie,family_total,in_kind,0.362
2003,LTU,Lituanie,family_total,in_kind,0.343
2004,LTU,Lituanie,family_total,in_kind,0.404
2005,LTU,Lituanie,family_total,in_kind,0.974
2006,LTU,Lituanie,family_total,in_kind,0.941
2007,LTU,Lituanie,family_total,in_kind,0.857
2008,LTU,Lituanie,family_total,in_kind,0.876
2009,LTU,Lituanie,family_total,in_kind,1.173
2010,LTU,Lituanie,family_total,in_kind,0.907
2011,LTU,Lituanie,family_total,in_kind,0.891
2012,LTU,Lituanie,family_total,in_kind,0.798
2013,LTU,Lituanie,family_total,in_kind,0.785
2014,LTU,Lituanie,family_total,in_kind,0.806
2015,LTU,Lituanie,family_total,in_kind,0.829
2016,LTU,Lituanie,family_total,in_kind,0.895
2017,LTU,Lituanie,family_total,in_kind,0.917
2018,LTU,Lituanie,family_total,in_kind,1.024
2019,LTU,Lituanie,family_total,in_kind,0.981
2020,LTU,Lituanie,family_total,in_kind,1.203
2021,LTU,Lituanie,family_total,in_kind,1.189
2000,LUX,Luxembourg,family_total,in_kind,0.446
2001,LUX,Luxembourg,family_total,in_kind,0.469
2002,LUX,Luxembourg,family_total,in_kind,0.509
2003,LUX,Luxembourg,family_total,in_kind,0.506
2004,LUX,Luxembourg,family_total,in_kind,0.506
2005,LUX,Luxembourg,family_total,in_kind,0.518
2006,LUX,Luxembourg,family_total,in_kind,0.511
2007,LUX,Luxembourg,family_total,in_kind,0.272
2008,LUX,Luxembourg,family_total,in_kind,0.304
2009,LUX,Luxembourg,family_total,in_kind,0.398
2010,LUX,Luxembourg,family_total,in_kind,0.487
2011,LUX,Luxembourg,family_total,in_kind,0.551
2012,LUX,Luxembourg,family_total,in_kind,0.679
2013,LUX,Luxembourg,family_total,in_kind,0.722
2014,LUX,Luxembourg,family_total,in_kind,0.715
2015,LUX,Luxembourg,family_total,in_kind,0.746
2016,LUX,Luxembourg,family_total,in_kind,0.767
2017,LUX,Luxembourg,family_total,in_kind,0.836
2018,LUX,Luxembourg,family_total,in_kind,0.916
2019,LUX,Luxembourg,family_total,in_kind,1.002
2020,LUX,Luxembourg,family_total,in_kind,1.09
2021,LUX,Luxembourg,family_total,in_kind,1.044
2000,NLD,Pays-Bas,family_total,in_kind,0.831
2001,NLD,Pays-Bas,family_total,in_kind,0.851
2002,NLD,Pays-Bas,family_total,in_kind,0.936
2003,NLD,Pays-Bas,family_total,in_kind,1.017
2004,NLD,Pays-Bas,family_total,in_kind,0.996
2005,NLD,Pays-Bas,family_total,in_kind,0.985
2006,NLD,Pays-Bas,family_total,in_kind,1.219
2007,NLD,Pays-Bas,family_total,in_kind,0.725
2008,NLD,Pays-Bas,family_total,in_kind,0.827
2009,NLD,Pays-Bas,family_total,in_kind,0.919
2010,NLD,Pays-Bas,family_total,in_kind,0.906
2011,NLD,Pays-Bas,family_total,in_kind,0.883
2012,NLD,Pays-Bas,family_total,in_kind,0.804
2013,NLD,Pays-Bas,family_total,in_kind,0.746
2014,NLD,Pays-Bas,family_total,in_kind,0.691
2015,NLD,Pays-Bas,family_total,in_kind,0.703
2016,NLD,Pays-Bas,family_total,in_kind,0.738
2017,NLD,Pays-Bas,family_total,in_kind,0.758
2018,NLD,Pays-Bas,family_total,in_kind,0.786
2019,NLD,Pays-Bas,family_total,in_kind,0.836
2020,NLD,Pays-Bas,family_total,in_kind,0.864
2021,NLD,Pays-Bas,family_total,in_kind,0.887
2000,NOR,Norvège,family_total,in_kind,1.172
2001,NOR,Norvège,family_total,in_kind,1.236
2002,NOR,Norvège,family_total,in_kind,1.117
2003,NOR,Norvège,family_total,in_kind,1.211
2004,NOR,Norvège,family_total,in_kind,1.254
2005,NOR,Norvège,family_total,in_kind,1.241
2006,NOR,Norvège,family_total,in_kind,1.306
2007,NOR,Norvège,family_total,in_kind,1.42
2008,NOR,Norvège,family_total,in_kind,1.396
2009,NOR,Norvège,family_total,in_kind,1.684
2010,NOR,Norvège,family_total,in_kind,1.701
2011,NOR,Norvège,family_total,in_kind,1.726
2012,NOR,Norvège,family_total,in_kind,1.712
2013,NOR,Norvège,family_total,in_kind,1.775
2014,NOR,Norvège,family_total,in_kind,1.833
2015,NOR,Norvège,family_total,in_kind,1.894
2016,NOR,Norvège,family_total,in_kind,1.998
2017,NOR,Norvège,family_total,in_kind,1.952
2018,NOR,Norvège,family_total,in_kind,1.881
2019,NOR,Norvège,family_total,in_kind,1.944
2020,NOR,Norvège,family_total,in_kind,2.039
2021,NOR,Norvège,family_total,in_kind,1.672
2000,POL,Pologne,family_total,in_kind,0.229
2001,POL,Pologne,family_total,in_kind,0.205
2002,POL,Pologne,family_total,in_kind,0.208
2003,POL,Pologne,family_total,in_kind,0.237
2004,POL,Pologne,family_total,in_kind,0.331
2005,POL,Pologne,family_total,in_kind,0.358
2006,POL,Pologne,family_total,in_kind,0.361
2007,POL,Pologne,family_total,in_kind,0.354
2008,POL,Pologne,family_total,in_kind,0.504
2009,POL,Pologne,family_total,in_kind,0.539
2010,POL,Pologne,family_total,in_kind,0.555
2011,POL,Pologne,family_total,in_kind,0.581
2012,POL,Pologne,family_total,in_kind,0.672
2013,POL,Pologne,family_total,in_kind,0.718
2014,POL,Pologne,family_total,in_kind,0.742
2015,POL,Pologne,family_total,in_kind,0.705
2016,POL,Pologne,family_total,in_kind,0.745
2017,POL,Pologne,family_total,in_kind,0.609
2018,POL,Pologne,family_total,in_kind,0.641
2019,POL,Pologne,family_total,in_kind,0.713
2020,POL,Pologne,family_total,in_kind,0.808
2021,POL,Pologne,family_total,in_kind,0.808
2000,PRT,Portugal,family_total,in_kind,0.385
2001,PRT,Portugal,family_total,in_kind,0.416
2002,PRT,Portugal,family_total,in_kind,0.686
2003,PRT,Portugal,family_total,in_kind,0.76
2004,PRT,Portugal,family_total,in_kind,0.459
2005,PRT,Portugal,family_total,in_kind,0.452
2006,PRT,Portugal,family_total,in_kind,0.436
2007,PRT,Portugal,family_total,in_kind,0.422
2008,PRT,Portugal,family_total,in_kind,0.426
2009,PRT,Portugal,family_total,in_kind,0.453
2010,PRT,Portugal,family_total,in_kind,0.458
2011,PRT,Portugal,family_total,in_kind,0.433
2012,PRT,Portugal,family_total,in_kind,0.453
2013,PRT,Portugal,family_total,in_kind,0.492
2014,PRT,Portugal,family_total,in_kind,0.498
2015,PRT,Portugal,family_total,in_kind,0.464
2016,PRT,Portugal,family_total,in_kind,0.445
2017,PRT,Portugal,family_total,in_kind,0.449
2018,PRT,Portugal,family_total,in_kind,0.394
2019,PRT,Portugal,family_total,in_kind,0.383
2020,PRT,Portugal,family_total,in_kind,0.419
2021,PRT,Portugal,family_total,in_kind,0.439
2000,SVK,République slovaque,family_total,in_kind,0.439
2001,SVK,République slovaque,family_total,in_kind,0.449
2002,SVK,République slovaque,family_total,in_kind,0.459
2003,SVK,République slovaque,family_total,in_kind,0.473
2004,SVK,République slovaque,family_total,in_kind,0.404
2005,SVK,République slovaque,family_total,in_kind,0.392
2006,SVK,République slovaque,family_total,in_kind,0.378
2007,SVK,République slovaque,family_total,in_kind,0.374
2008,SVK,République slovaque,family_total,in_kind,0.377
2009,SVK,République slovaque,family_total,in_kind,0.435
2010,SVK,République slovaque,family_total,in_kind,0.407
2011,SVK,République slovaque,family_total,in_kind,0.427
2012,SVK,République slovaque,family_total,in_kind,0.466
2013,SVK,République slovaque,family_total,in_kind,0.503
2014,SVK,République slovaque,family_total,in_kind,0.533
2015,SVK,République slovaque,family_total,in_kind,0.523
2016,SVK,République slovaque,family_total,in_kind,0.551
2017,SVK,République slovaque,family_total,in_kind,0.579
2018,SVK,République slovaque,family_total,in_kind,0.598
2019,SVK,République slovaque,family_total,in_kind,0.654
2020,SVK,République slovaque,family_total,in_kind,0.644
2021,SVK,République slovaque,family_total,in_kind,0.624
2000,SVN,Slovénie,family_total,in_kind,0.636
2001,SVN,Slovénie,family_total,in_kind,0.624
2002,SVN,Slovénie,family_total,in_kind,0.605
2003,SVN,Slovénie,family_total,in_kind,0.596
2004,SVN,Slovénie,family_total,in_kind,0.573
2005,SVN,Slovénie,family_total,in_kind,0.569
2006,SVN,Slovénie,family_total,in_kind,0.541
2007,SVN,Slovénie,family_total,in_kind,0.504
2008,SVN,Slovénie,family_total,in_kind,0.493
2009,SVN,Slovénie,family_total,in_kind,0.524
2010,SVN,Slovénie,family_total,in_kind,0.531
2011,SVN,Slovénie,family_total,in_kind,0.529
2012,SVN,Slovénie,family_total,in_kind,0.549
2013,SVN,Slovénie,family_total,in_kind,0.556
2014,SVN,Slovénie,family_total,in_kind,0.539
2015,SVN,Slovénie,family_total,in_kind,0.519
2016,SVN,Slovénie,family_total,in_kind,0.499
2017,SVN,Slovénie,family_total,in_kind,0.669
2018,SVN,Slovénie,family_total,in_kind,0.661
2019,SVN,Slovénie,family_total,in_kind,0.652
2020,SVN,Slovénie,family_total,in_kind,0.661
2021,SVN,Slovénie,family_total,in_kind,0.616
2000,ESP,Espagne,family_total,in_kind,0.626
2001,ESP,Espagne,family_total,in_kind,0.593
2002,ESP,Espagne,family_total,in_kind,0.605
2003,ESP,Espagne,family_total,in_kind,0.628
2004,ESP,Espagne,family_total,in_kind,0.642
2005,ESP,Espagne,family_total,in_kind,0.675
2006,ESP,Espagne,family_total,in_kind,0.693
2007,ESP,Espagne,family_total,in_kind,0.692
2008,ESP,Espagne,family_total,in_kind,0.712
2009,ESP,Espagne,family_total,in_kind,0.821
2010,ESP,Espagne,family_total,in_kind,0.824
2011,ESP,Espagne,family_total,in_kind,0.834
2012,ESP,Espagne,family_total,in_kind,0.834
2013,ESP,Espagne,family_total,in_kind,0.817
2014,ESP,Espagne,family_total,in_kind,0.749
2015,ESP,Espagne,family_total,in_kind,0.718
2016,ESP,Espagne,family_total,in_kind,0.691
2017,ESP,Espagne,family_total,in_kind,0.705
2018,ESP,Espagne,family_total,in_kind,0.716
2019,ESP,Espagne,family_total,in_kind,0.741
2020,ESP,Espagne,family_total,in_kind,0.881
2021,ESP,Espagne,family_total,in_kind,0.855
2000,SWE,Suède,family_total,in_kind,1.372
2001,SWE,Suède,family_total,in_kind,1.441
2002,SWE,Suède,family_total,in_kind,1.595
2003,SWE,Suède,family_total,in_kind,1.662
2004,SWE,Suède,family_total,in_kind,1.669
2005,SWE,Suède,family_total,in_kind,1.713
2006,SWE,Suède,family_total,in_kind,1.771
2007,SWE,Suède,family_total,in_kind,1.773
2008,SWE,Suède,family_total,in_kind,1.911
2009,SWE,Suède,family_total,in_kind,2.026
2010,SWE,Suède,family_total,in_kind,1.966
2011,SWE,Suède,family_total,in_kind,1.991
2012,SWE,Suède,family_total,in_kind,2.085
2013,SWE,Suède,family_total,in_kind,2.125
2014,SWE,Suède,family_total,in_kind,2.162
2015,SWE,Suède,family_total,in_kind,2.131
2016,SWE,Suède,family_total,in_kind,2.158
2017,SWE,Suède,family_total,in_kind,2.159
2018,SWE,Suède,family_total,in_kind,2.171
2019,SWE,Suède,family_total,in_kind,2.137
2020,SWE,Suède,family_total,in_kind,2.173
2021,SWE,Suède,family_total,in_kind,2.049
2000,CHE,Suisse,family_total,in_kind,0.198
2001,CHE,Suisse,family_total,in_kind,0.203
2002,CHE,Suisse,family_total,in_kind,0.219
2003,CHE,Suisse,family_total,in_kind,0.224
2004,CHE,Suisse,family_total,in_kind,0.222
2005,CHE,Suisse,family_total,in_kind,0.233
2006,CHE,Suisse,family_total,in_kind,0.226
2007,CHE,Suisse,family_total,in_kind,0.22
2008,CHE,Suisse,family_total,in_kind,0.213
2009,CHE,Suisse,family_total,in_kind,0.237
2010,CHE,Suisse,family_total,in_kind,0.235
2011,CHE,Suisse,family_total,in_kind,0.231
2012,CHE,Suisse,family_total,in_kind,0.244
2013,CHE,Suisse,family_total,in_kind,0.235
2014,CHE,Suisse,family_total,in_kind,0.278
2015,CHE,Suisse,family_total,in_kind,0.405
2016,CHE,Suisse,family_total,in_kind,0.398
2017,CHE,Suisse,family_total,in_kind,0.401
2018,CHE,Suisse,family_total,in_kind,0.395
2019,CHE,Suisse,family_total,in_kind,0.419
2020,CHE,Suisse,family_total,in_kind,0.45
2021,CHE,Suisse,family_total,in_kind,0.434
2000,GBR,Royaume-Uni,family_total,in_kind,0.764
2001,GBR,Royaume-Uni,family_total,in_kind,0.829
2002,GBR,Royaume-Uni,family_total,in_kind,0.871
2003,GBR,Royaume-Uni,family_total,in_kind,0.845
2004,GBR,Royaume-Uni,family_total,in_kind,0.925
2005,GBR,Royaume-Uni,family_total,in_kind,0.909
2006,GBR,Royaume-Uni,family_total,in_kind,0.949
2007,GBR,Royaume-Uni,family_total,in_kind,1.088
2008,GBR,Royaume-Uni,family_total,in_kind,1.107
2009,GBR,Royaume-Uni,family_total,in_kind,1.207
2010,GBR,Royaume-Uni,family_total,in_kind,1.378
2011,GBR,Royaume-Uni,family_total,in_kind,1.365
2012,GBR,Royaume-Uni,family_total,in_kind,1.391
2013,GBR,Royaume-Uni,family_total,in_kind,1.285
2014,GBR,Royaume-Uni,family_total,in_kind,1.176
2015,GBR,Royaume-Uni,family_total,in_kind,1.224
2016,GBR,Royaume-Uni,family_total,in_kind,1.126
2017,GBR,Royaume-Uni,family_total,in_kind,1.111
2018,GBR,Royaume-Uni,family_total,in_kind,1.075
2019,GBR,Royaume-Uni,family_total,in_kind,0.98
2020,GBR,Royaume-Uni,family_total,in_kind,1.028
2021,GBR,Royaume-Uni,family_total,in_kind,0.976
2000,AUT,Autriche,family_total,Total,2.946
2001,AUT,Autriche,family_total,Total,2.872
2002,AUT,Autriche,family_total,Total,2.917
2003,AUT,Autriche,family_total,Total,3.03
2004,AUT,Autriche,family_total,Total,2.986
2005,AUT,Autriche,family_total,Total,2.908
2006,AUT,Autriche,family_total,Total,2.795
2007,AUT,Autriche,family_total,Total,2.664
2008,AUT,Autriche,family_total,Total,2.731
2009,AUT,Autriche,family_total,Total,2.94
2010,AUT,Autriche,family_total,Total,2.971
2011,AUT,Autriche,family_total,Total,2.714
2012,AUT,Autriche,family_total,Total,2.664
2013,AUT,Autriche,family_total,Total,2.683
2014,AUT,Autriche,family_total,Total,2.645
2015,AUT,Autriche,family_total,Total,2.678
2016,AUT,Autriche,family_total,Total,2.665
2017,AUT,Autriche,family_total,Total,2.622
2018,AUT,Autriche,family_total,Total,2.562
2019,AUT,Autriche,family_total,Total,2.524
2020,AUT,Autriche,family_total,Total,2.877
2021,AUT,Autriche,family_total,Total,2.59
2000,BEL,Belgique,family_total,Total,2.468
2001,BEL,Belgique,family_total,Total,2.569
2002,BEL,Belgique,family_total,Total,2.606
2003,BEL,Belgique,family_total,Total,2.661
2004,BEL,Belgique,family_total,Total,2.611
2005,BEL,Belgique,family_total,Total,2.586
2006,BEL,Belgique,family_total,Total,2.586
2007,BEL,Belgique,family_total,Total,2.642
2008,BEL,Belgique,family_total,Total,2.675
2009,BEL,Belgique,family_total,Total,2.836
2010,BEL,Belgique,family_total,Total,2.83
2011,BEL,Belgique,family_total,Total,2.843
2012,BEL,Belgique,family_total,Total,2.793
2013,BEL,Belgique,family_total,Total,2.832
2014,BEL,Belgique,family_total,Total,2.846
2015,BEL,Belgique,family_total,Total,2.785
2016,BEL,Belgique,family_total,Total,2.776
2017,BEL,Belgique,family_total,Total,2.754
2018,BEL,Belgique,family_total,Total,2.729
2019,BEL,Belgique,family_total,Total,2.733
2020,BEL,Belgique,family_total,Total,2.99
2021,BEL,Belgique,family_total,Total,2.803
2000,DNK,Danemark,family_total,Total,3.398
2001,DNK,Danemark,family_total,Total,3.461
2002,DNK,Danemark,family_total,Total,3.553
2003,DNK,Danemark,family_total,Total,3.666
2004,DNK,Danemark,family_total,Total,3.566
2005,DNK,Danemark,family_total,Total,3.491
2006,DNK,Danemark,family_total,Total,3.448
2007,DNK,Danemark,family_total,Total,3.666
2008,DNK,Danemark,family_total,Total,3.708
2009,DNK,Danemark,family_total,Total,4.042
2010,DNK,Danemark,family_total,Total,3.889
2011,DNK,Danemark,family_total,Total,3.918
2012,DNK,Danemark,family_total,Total,3.808
2013,DNK,Danemark,family_total,Total,3.721
2014,DNK,Danemark,family_total,Total,3.62
2015,DNK,Danemark,family_total,Total,3.53
2016,DNK,Danemark,family_total,Total,3.489
2017,DNK,Danemark,family_total,Total,3.404
2018,DNK,Danemark,family_total,Total,3.387
2019,DNK,Danemark,family_total,Total,3.323
2020,DNK,Danemark,family_total,Total,3.402
2021,DNK,Danemark,family_total,Total,3.146
2000,EST,Estonie,family_total,Total,1.746
2001,EST,Estonie,family_total,Total,1.605
2002,EST,Estonie,family_total,Total,1.575
2003,EST,Estonie,family_total,Total,1.422
2004,EST,Estonie,family_total,Total,1.837
2005,EST,Estonie,family_total,Total,1.738
2006,EST,Estonie,family_total,Total,3.115
2007,EST,Estonie,family_total,Total,1.611
2008,EST,Estonie,family_total,Total,2.103
2009,EST,Estonie,family_total,Total,2.56
2010,EST,Estonie,family_total,Total,2.557
2011,EST,Estonie,family_total,Total,2.223
2012,EST,Estonie,family_total,Total,2.02
2013,EST,Estonie,family_total,Total,1.829
2014,EST,Estonie,family_total,Total,2.257
2015,EST,Estonie,family_total,Total,2.736
2016,EST,Estonie,family_total,Total,2.845
2017,EST,Estonie,family_total,Total,2.767
2018,EST,Estonie,family_total,Total,3.058
2019,EST,Estonie,family_total,Total,3.128
2020,EST,Estonie,family_total,Total,3.286
2021,EST,Estonie,family_total,Total,2.995
2000,FIN,Finlande,family_total,Total,2.931
2001,FIN,Finlande,family_total,Total,2.819
2002,FIN,Finlande,family_total,Total,2.8
2003,FIN,Finlande,family_total,Total,2.812
2004,FIN,Finlande,family_total,Total,2.821
2005,FIN,Finlande,family_total,Total,2.835
2006,FIN,Finlande,family_total,Total,2.805
2007,FIN,Finlande,family_total,Total,2.717
2008,FIN,Finlande,family_total,Total,2.781
2009,FIN,Finlande,family_total,Total,3.124
2010,FIN,Finlande,family_total,Total,3.102
2011,FIN,Finlande,family_total,Total,3.079
2012,FIN,Finlande,family_total,Total,3.184
2013,FIN,Finlande,family_total,Total,3.211
2014,FIN,Finlande,family_total,Total,3.18
2015,FIN,Finlande,family_total,Total,3.103
2016,FIN,Finlande,family_total,Total,3.028
2017,FIN,Finlande,family_total,Total,2.885
2018,FIN,Finlande,family_total,Total,2.889
2019,FIN,Finlande,family_total,Total,2.906
2020,FIN,Finlande,family_total,Total,3.019
2021,FIN,Finlande,family_total,Total,3.09
2000,FRA,France,family_total,Total,3.016
2001,FRA,France,family_total,Total,2.945
2002,FRA,France,family_total,Total,2.934
2003,FRA,France,family_total,Total,2.988
2004,FRA,France,family_total,Total,3.017
2005,FRA,France,family_total,Total,2.941
2006,FRA,France,family_total,Total,2.852
2007,FRA,France,family_total,Total,2.827
2008,FRA,France,family_total,Total,2.81
2009,FRA,France,family_total,Total,3.002
2010,FRA,France,family_total,Total,2.92
2011,FRA,France,family_total,Total,2.861
2012,FRA,France,family_total,Total,2.911
2013,FRA,France,family_total,Total,2.974
2014,FRA,France,family_total,Total,2.979
2015,FRA,France,family_total,Total,2.924
2016,FRA,France,family_total,Total,2.891
2017,FRA,France,family_total,Total,2.864
2018,FRA,France,family_total,Total,2.797
2019,FRA,France,family_total,Total,2.719
2020,FRA,France,family_total,Total,2.912
2021,FRA,France,family_total,Total,2.655
2000,DEU,Allemagne,family_total,Total,2.035
2001,DEU,Allemagne,family_total,Total,1.988
2002,DEU,Allemagne,family_total,Total,2.057
2003,DEU,Allemagne,family_total,Total,2.06
2004,DEU,Allemagne,family_total,Total,2.02
2005,DEU,Allemagne,family_total,Total,2.013
2006,DEU,Allemagne,family_total,Total,1.707
2007,DEU,Allemagne,family_total,Total,1.783
2008,DEU,Allemagne,family_total,Total,1.866
2009,DEU,Allemagne,family_total,Total,2.126
2010,DEU,Allemagne,family_total,Total,2.136
2011,DEU,Allemagne,family_total,Total,2.091
2012,DEU,Allemagne,family_total,Total,2.115
2013,DEU,Allemagne,family_total,Total,2.161
2014,DEU,Allemagne,family_total,Total,2.173
2015,DEU,Allemagne,family_total,Total,2.21
2016,DEU,Allemagne,family_total,Total,2.261
2017,DEU,Allemagne,family_total,Total,2.272
2018,DEU,Allemagne,family_total,Total,2.32
2019,DEU,Allemagne,family_total,Total,2.37
2020,DEU,Allemagne,family_total,Total,2.745
2021,DEU,Allemagne,family_total,Total,2.645
2000,GRC,Grèce,family_total,Total,0.849
2001,GRC,Grèce,family_total,Total,0.782
2002,GRC,Grèce,family_total,Total,0.747
2003,GRC,Grèce,family_total,Total,0.778
2004,GRC,Grèce,family_total,Total,0.797
2005,GRC,Grèce,family_total,Total,0.797
2006,GRC,Grèce,family_total,Total,0.752
2007,GRC,Grèce,family_total,Total,0.853
2008,GRC,Grèce,family_total,Total,0.851
2009,GRC,Grèce,family_total,Total,0.967
2010,GRC,Grèce,family_total,Total,0.981
2011,GRC,Grèce,family_total,Total,1.021
2012,GRC,Grèce,family_total,Total,1.193
2013,GRC,Grèce,family_total,Total,1.342
2014,GRC,Grèce,family_total,Total,1.384
2015,GRC,Grèce,family_total,Total,1.287
2016,GRC,Grèce,family_total,Total,1.265
2017,GRC,Grèce,family_total,Total,1.645
2018,GRC,Grèce,family_total,Total,1.867
2019,GRC,Grèce,family_total,Total,1.562
2020,GRC,Grèce,family_total,Total,1.664
2021,GRC,Grèce,family_total,Total,1.687
2000,HUN,Hongrie,family_total,Total,2.99
2001,HUN,Hongrie,family_total,Total,2.874
2002,HUN,Hongrie,family_total,Total,2.945
2003,HUN,Hongrie,family_total,Total,3.213
2004,HUN,Hongrie,family_total,Total,2.951
2005,HUN,Hongrie,family_total,Total,2.997
2006,HUN,Hongrie,family_total,Total,3.262
2007,HUN,Hongrie,family_total,Total,3.219
2008,HUN,Hongrie,family_total,Total,3.243
2009,HUN,Hongrie,family_total,Total,3.394
2010,HUN,Hongrie,family_total,Total,3.367
2011,HUN,Hongrie,family_total,Total,3.168
2012,HUN,Hongrie,family_total,Total,3.068
2013,HUN,Hongrie,family_total,Total,2.971
2014,HUN,Hongrie,family_total,Total,2.873
2015,HUN,Hongrie,family_total,Total,2.712
2016,HUN,Hongrie,family_total,Total,2.654
2017,HUN,Hongrie,family_total,Total,2.584
2018,HUN,Hongrie,family_total,Total,2.495
2019,HUN,Hongrie,family_total,Total,2.372
2020,HUN,Hongrie,family_total,Total,2.495
2021,HUN,Hongrie,family_total,Total,2.321
2000,ISL,Islande,family_total,Total,2.123
2001,ISL,Islande,family_total,Total,2.386
2002,ISL,Islande,family_total,Total,2.58
2003,ISL,Islande,family_total,Total,2.945
2004,ISL,Islande,family_total,Total,2.984
2005,ISL,Islande,family_total,Total,2.857
2006,ISL,Islande,family_total,Total,2.963
2007,ISL,Islande,family_total,Total,3.33
2008,ISL,Islande,family_total,Total,3.422
2009,ISL,Islande,family_total,Total,3.645
2010,ISL,Islande,family_total,Total,3.521
2011,ISL,Islande,family_total,Total,3.272
2012,ISL,Islande,family_total,Total,3.352
2013,ISL,Islande,family_total,Total,3.429
2014,ISL,Islande,family_total,Total,3.518
2015,ISL,Islande,family_total,Total,3.285
2016,ISL,Islande,family_total,Total,3.194
2017,ISL,Islande,family_total,Total,3.222
2018,ISL,Islande,family_total,Total,3.313
2019,ISL,Islande,family_total,Total,3.362
2020,ISL,Islande,family_total,Total,3.936
2021,ISL,Islande,family_total,Total,3.82
2000,IRL,Irlande,family_total,Total,1.95
2001,IRL,Irlande,family_total,Total,2.192
2002,IRL,Irlande,family_total,Total,2.545
2003,IRL,Irlande,family_total,Total,2.66
2004,IRL,Irlande,family_total,Total,2.637
2005,IRL,Irlande,family_total,Total,2.555
2006,IRL,Irlande,family_total,Total,2.593
2007,IRL,Irlande,family_total,Total,2.703
2008,IRL,Irlande,family_total,Total,3.182
2009,IRL,Irlande,family_total,Total,3.686
2010,IRL,Irlande,family_total,Total,3.428
2011,IRL,Irlande,family_total,Total,3.201
2012,IRL,Irlande,family_total,Total,3.137
2013,IRL,Irlande,family_total,Total,2.871
2014,IRL,Irlande,family_total,Total,2.584
2015,IRL,Irlande,family_total,Total,1.923
2016,IRL,Irlande,family_total,Total,1.94
2017,IRL,Irlande,family_total,Total,1.784
2018,IRL,Irlande,family_total,Total,1.699
2019,IRL,Irlande,family_total,Total,1.609
2020,IRL,Irlande,family_total,Total,1.511
2021,IRL,Irlande,family_total,Total,1.334
2000,ITA,Italie,family_total,Total,1.166
2001,ITA,Italie,family_total,Total,1.212
