STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,CHAPTER,Chapitre,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,ADJUSTMENT,Ajustement,COUNTERPART_AREA,Zone de contrepartie,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,CONSOLIDATION,Statut de consolidation,ACCOUNTING_ENTRY,Ecriture comptable,TRANSACTION,Transaction,INSTR_ASSET,Instruments et actifs,MATURITY,Échéance initiale et résiduelle,PRODUCT,Produit,PENSION_FUNDTYPE,Type de fond de pension,CURRENCY_DENOM,Monnaie de libellé,VALUATION,Evaluation,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,KOR,Corée,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1991,,2.49303002141501,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,NZL,Nouvelle-Zélande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1991,,16.7185751707978,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,GBR,Royaume-Uni,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1991,,14.0695653784303,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,USA,États-Unis,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1991,,10.665236145589,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,AUS,Australie,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,10.8936086033881,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,CAN,Canada,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,13.6101197601457,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,FIN,Finlande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,22.9247753166796,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,KOR,Corée,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,2.65503038360214,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,NZL,Nouvelle-Zélande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,16.4516046671943,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,GBR,Royaume-Uni,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,15.5249416070339,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,USA,États-Unis,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1992,,11.3180673300588,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,AUS,Australie,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,11.1507727601512,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,CAN,Canada,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,13.9057369313702,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,FIN,Finlande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,24.4188762994977,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,KOR,Corée,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,2.72588974960064,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,NZL,Nouvelle-Zélande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,15.831983446645,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,GBR,Royaume-Uni,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,15.9339525867063,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,USA,États-Unis,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1993,,11.4475066847132,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,AUS,Australie,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1994,,10.9482701334477,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,CAN,Canada,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1994,,13.1104382478168,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,FIN,Finlande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1994,,24.3022306555171,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,KOR,Corée,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1994,,2.68612761775039,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapitre 6: Administrations publiques,I,A,Annuelle,NZL,Nouvelle-Zélande,D62P_D632S13,"Prestations sociales et transferts sociaux en nature, production marchande, payés par les administrations publiques",_T,Total,PT_B1GQ,Pourcentage du PIB,NAAG_VI,Part VI: General Government,1994,,15.3701986754967,,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,Non applicable,S13,Administrations publiques,_Z,Non applicable,N,Non consolidé,D,Dépenses,D62_63,Prestations sociales et transferts sociaux en nature,_Z,Non applicable,,,,,,,,,,,V,Prix courants,N,Données non transformées,,,,,,,F,Libre (libre pour publication),2,Two,A,Valeur normale,0,Units,_Z,N'est pas applicable
