STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,HOUSEHOLD_TYPE,Type de ménage,INCOME_PRINCIPAL,Revenus du principal,INCOME_SPOUSE,Revenus du conjoint,FREQ,Fréquence d'observation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,DECIMALS,Décimales,UNIT_MULT,Multiplicateur d'unité,OBS_STATUS,Statut d'observation,CIVIL_STATUS,État civil
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2000,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2000,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2000,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2001,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2001,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2001,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2002,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2002,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2002,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2003,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2003,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2003,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2004,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2004,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2004,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2005,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2005,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2005,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2006,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2006,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2006,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2007,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2007,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2007,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2008,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2008,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2008,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2009,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC,Cotisations sociales obligatoires des salariés,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2009,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,EECSSC_PGE,Cotisations sociales obligatoires des salariés sur les rémunérations brutes,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2009,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COU@DF_TW_COU(2.1),Les impôts sur le travail - tableaux des pays membres de l'OCDE,I,COL,Colombie,CGITFP,Montant définitif de l'impôt payé au gouvernement central,XDC,Monnaie nationale,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annuelle,2010,,0,,2,Two,0,Units,A,Valeur normale,_Z,Non applicable
