STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA_TYPE,Reference area type,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,VINTAGE,Vintage,DWELLINGS,Dwellings,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2021,,10.443,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2020,,4.301,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2019,,2.501,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2018,,1.424,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2017,,4.95,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2016,,7.075,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2015,,6.073,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2014,,2.78,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2013,,4.026,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2012,,6.749,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2011,,7.974,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2010,,8.242,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2009,,1.947,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2008,,-1.106,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2007,,12.565,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,NOR,Norway,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2006,,13.641,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2024,,-4.019,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2023,,-0.662,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2022,,6.295,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2021,,6.672,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2020,,5.524,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2019,,3.273,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRA,France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2018,,3.011,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2024,,-4.048,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2023,,-0.661,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2022,,6.301,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2021,,6.657,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2020,,5.558,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2019,,3.291,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2018,,3.03,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2017,,3.022,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2016,,0.925,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2015,,-1.889,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2014,,-1.806,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2013,,-2.052,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2012,,-0.54,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2011,,5.941,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2010,,5.094,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2009,,-7.11,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI@DF_RHPI_ALL(1.0),National and regional house price indices,I,COU,Country,FRAMET,Metropolitan France,A,Annual,RHPI,House price index,PA,Percent per annum,S,"Seasonally adjusted, not calendar adjusted",GY,"Growth rate, over 1 year",EXISTING,Existing,_T,Total,2008,,0.931,,A,Normal value,0,Units,1,One,,
