STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2018,,23.88,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2014,,43.79,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2016,,45.25,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2018,,44.9,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2016,,25.64,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2010,,28.36,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2010,,42.96,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2017,,29.66,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2018,,29.91,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2014,,29.71,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2015,,29.43,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2010,,23.25,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2011,,30.81,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2011,,26.66,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2010,,28.87,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_OUTRIGHT,Outright homeowners (without a morgage),_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2013,,31.47,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2012,,26.68,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2013,,25.61,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2014,,25.88,,AUT,Austria,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_SOC(2.2),Social statistics - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,HOME_OWN_MORTGAGE,Homeowners with a morgage,_Z,Not applicable,_T,Total,PT_POP,Percentage of population,2015,,25.51,,AUT,Austria,A,Normal value,0,Units,1,One
