STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP04,"Logement, eau, gaz, électricité et autres combustibles",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1995,,150167,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP07,Transports,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1995,,92274,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1995,,40500,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP09,Loisirs et culture,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,57472,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP08,Communications,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,15167,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,_T,Total,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,665042,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP06,Santé,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,24696,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP05,"Meubles, articles de ménage et entretien courant du foyer",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,37659,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP01,Produits alimentaires et boissons non alcoolisées,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,93499,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP10,Enseignement,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,2360,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP02,"Boissons alcoolisées, tabac et stupéfiants",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,26068,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP03,Articles d'habillement et chaussures,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,37996,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP12,Biens et services divers,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,83244,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,40048,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP07,Transports,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,97554,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP04,"Logement, eau, gaz, électricité et autres combustibles",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1996,,157233,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP09,Loisirs et culture,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,59363,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP08,Communications,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,15686,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,_T,Total,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,677628,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP05,"Meubles, articles de ménage et entretien courant du foyer",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,38360,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP06,Santé,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,25091,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP01,Produits alimentaires et boissons non alcoolisées,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,95772,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP10,Enseignement,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,2681,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP02,"Boissons alcoolisées, tabac et stupéfiants",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,26774,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP03,Articles d'habillement et chaussures,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,38604,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP12,Biens et services divers,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,84715,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP11,Restaurants et hôtels,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,41597,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP07,Transports,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,94442,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP04,"Logement, eau, gaz, électricité et autres combustibles",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1997,,160852,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP09,Loisirs et culture,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,63848,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP08,Communications,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,16646,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP05,"Meubles, articles de ménage et entretien courant du foyer",XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,39749,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP06,Santé,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,25753,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,_T,Total,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,707475,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),Dépenses annuelles de consommation finale des ménages (COICOP),I,A,Annuelle,FRA,France,S14,Ménages,S1,Economie totale,P31DC,Dépense de consommation finale des résidents et non-résidents sur le territoire économique,_Z,Non applicable,_Z,Non applicable,CP01,Produits alimentaires et boissons non alcoolisées,XDC,Monnaie nationale,V,Prix courants,N,Données non transformées,T0117,Tableau 0117 - Dépenses de consommation finale des ménages par durabilité,1998,,98470,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,6,Millions,EUR,Euro
