STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,TERRITORIAL_LEVEL,Niveau territorial,REF_AREA,Zone de référence,TERRITORIAL_TYPE,Typologie territoriale,MEASURE,Mesure,AGE,Âge,SEX,Sexe,UNIT_MEASURE,Unité de mesure,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,COUNTRY,Pays,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,SRB,Serbie,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,259735,,SRB,Serbie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,AUS,Australie,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,9340109,,AUS,Australie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,DNK,Danemark,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,2625421,,DNK,Danemark,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,IRL,Irlande,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,1853675,,IRL,Irlande,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,FIN,Finlande,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,168854,,FIN,Finlande,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,ISR,Israël,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,3019000,,ISR,Israël,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,BEL,Belgique,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,689631,,BEL,Belgique,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,SWE,Suède,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,650148,,SWE,Suède,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,COL,Colombie,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,1009176,,COL,Colombie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,SVK,République slovaque,_Z,N'est pas applicable,POP,Population,Y_LT15,Moins de 15 ans,M,Sexe masculin,PS,Personnes,1999,,563558,,SVK,République slovaque,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,EST,Estonie,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,51850,,EST,Estonie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,PER,Pérou,_Z,N'est pas applicable,POP,Population,Y_LT15,Moins de 15 ans,M,Sexe masculin,PS,Personnes,1999,,4489625,,PER,Pérou,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,DEU,Allemagne,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,40004142,,DEU,Allemagne,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,ITA,Italie,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,1603708,,ITA,Italie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,SVK,République slovaque,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,234022,,SVK,République slovaque,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,ROU,Roumanie,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,886362,,ROU,Roumanie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,CZE,Tchèquie,_Z,N'est pas applicable,POP,Population,_T,Total,M,Sexe masculin,PS,Personnes,1999,,5005435,,CZE,Tchéquie,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,JPN,Japon,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,8816000,,JPN,Japon,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,MKD,Macédoine du Nord,_Z,N'est pas applicable,POP,Population,Y15T19,De 15 à 19 ans,M,Sexe masculin,PS,Personnes,1999,,85953,,MKD,Macédoine du Nord,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(2.0),Population par tranche d'âge de 5 ans - Régions,I,A,Annuelle,CTRY,Pays,CZE,Tchèquie,_Z,N'est pas applicable,POP,Population,Y_GE65,65 ans et plus,M,Sexe masculin,PS,Personnes,1999,,541064,,CZE,Tchéquie,A,Valeur normale,0,Units,0,Zero
