STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2014,,1314545,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2015,,1314608,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2016,,1315790,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2017,,1317384,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2018,,1321977,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2019,,1326855,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2020,,1329479,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2021,,1330932,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,EST,Estonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2022,,1348840,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1990,,10373987,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1991,,10373398,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1992,,10369339,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1993,,10357518,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1994,,10343359,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1995,,10328967,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1996,,10311235,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,HUN,Hongrie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,1997,,10290475,,A,Valeur normale,0,Units,0,Zero
