Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2000,IRL,14.504,1.89,71.74,30.54,58.25,11.21,7.31,6.54,2.14,0.97,11.1,2.46,7.09,17.49,10.21,7.59,14.16,12.95,1.95,20.84,23.01,27.55
2000,NOR,13.226,1.85,80.33,25.92,58.91,15.16,4.72,5.63,2.63,0.48,14.67,2.72,6.27,19.67,8.74,12.69,6.51,15.28,2.992,24.41,29.13,30.7
2000,AUT,9.781,1.36,71.26,23.1,61.47,15.43,3.52,6.96,2.75,0.67,10.32,3.73,7.32,19.37,10.56,10.52,11.06,13.22,2.946,20.09,28.83,30.96
2000,FIN,10.972,1.73,71.85,24.57,60.51,14.92,5.79,4.6,3.13,0.47,12.6,3.82,4.85,24.44,9.37,11.28,6.39,13.25,2.931,26.0,31.46,33.88
2000,SVN,9.146,1.26,68.5,22.92,63.1,13.98,5.4,5.99,2.27,0.87,16.63,3.21,5.97,19.11,8.46,10.23,6.37,15.48,2.147,25.1,34.26,35.56
2000,ITA,9.542,1.26,57.53,19.62,62.11,18.27,4.34,7.45,2.95,0.95,15.06,3.35,7.4,18.02,10.29,7.35,8.62,14.22,1.166,25.15,27.18,29.05
2000,PRT,11.709,1.55,73.42,23.15,60.66,16.19,3.47,6.51,2.58,1.34,16.53,4.42,6.71,12.11,10.73,7.87,10.6,17.11,0.974,17.58,20.7,22.84
2000,HUN,9.548,1.32,61.11,23.37,61.57,15.06,6.64,4.06,3.88,1.59,18.91,3.68,6.2,18.09,8.25,8.09,5.76,14.86,2.99,24.32,33.45,35.73
2000,DNK,12.586,1.77,78.06,23.72,61.45,14.83,4.77,4.54,2.02,0.79,12.05,2.55,5.5,25.97,12.67,11.24,5.48,12.43,3.398,35.81,39.85,41.45
2000,NLD,13.024,1.72,73.65,24.43,61.99,13.58,3.03,5.79,3.74,0.69,10.55,4.08,6.52,18.64,16.03,11.03,7.51,13.28,1.494,30.06,33.35,33.62
