Year,REF_AREA,Country,Household_type,Measure,INCOME_PRINCIPAL,INCOME_SPOUSE,Net_average_tax_rate_pct,Unit_measure
2000,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.09,PT
2001,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.74,PT
2002,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.18,PT
2003,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.66,PT
2004,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.81,PT
2005,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.6,PT
2006,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.33,PT
2007,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.02,PT
2008,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.68,PT
2009,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.16,PT
2010,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.59,PT
2011,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.44,PT
2012,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.03,PT
2013,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,24.71,PT
2014,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.08,PT
2015,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,25.54,PT
2016,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.49,PT
2017,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,22.95,PT
2018,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,23.4,PT
2019,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.88,PT
2020,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,19.5,PT
2021,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,21.13,PT
2022,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,18.44,PT
2023,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.14,PT
2024,AUT,Autriche,"Couple, 2 children",net_average_tax_rate,100,67,20.11,PT
2000,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.98,PT
2001,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.32,PT
2002,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,35.07,PT
2003,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.87,PT
2004,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.88,PT
2005,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98,PT
2006,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.94,PT
2007,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,32.98,PT
2008,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.31,PT
2009,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.14,PT
2010,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.93,PT
2011,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,34.06,PT
2012,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.92,PT
2013,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.5,PT
2014,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.45,PT
2015,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,33.06,PT
2016,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.46,PT
2017,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,31.34,PT
2018,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.49,PT
2019,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.82,PT
2020,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,29.78,PT
2021,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.01,PT
2022,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.76,PT
2023,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.26,PT
2024,BEL,Belgique,"Couple, 2 children",net_average_tax_rate,100,67,30.13,PT
2000,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.81,PT
2001,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,35.02,PT
2002,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.36,PT
2003,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,34.32,PT
2004,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.95,PT
2005,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.84,PT
2006,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.98,PT
2007,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,33.19,PT
2008,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.99,PT
2009,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,32.45,PT
2010,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.04,PT
2011,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.3,PT
2012,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.42,PT
2013,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.0,PT
2014,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.78,PT
2015,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.1,PT
2016,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.09,PT
2017,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.05,PT
2018,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.95,PT
2019,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.17,PT
2020,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.48,PT
2021,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.63,PT
2022,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,30.98,PT
2023,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.17,PT
2024,DNK,Danemark,"Couple, 2 children",net_average_tax_rate,100,67,31.13,PT
2000,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.76,PT
2001,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.69,PT
2002,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,17.69,PT
2003,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,18.39,PT
2004,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,16.08,PT
2005,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.44,PT
2006,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.27,PT
2007,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.6,PT
2008,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,10.09,PT
2009,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.62,PT
2010,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,13.67,PT
2011,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.27,PT
2012,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.78,PT
2013,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,14.67,PT
2014,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,15.06,PT
2015,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.23,PT
2016,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.1,PT
2017,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,11.56,PT
2018,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,6.28,PT
2019,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.25,PT
2020,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,7.74,PT
2021,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,9.12,PT
2022,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,10.73,PT
2023,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,10.29,PT
2024,EST,Estonie,"Couple, 2 children",net_average_tax_rate,100,67,12.68,PT
2000,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,26.0,PT
2001,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.92,PT
2002,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.6,PT
2003,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.18,PT
2004,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.4,PT
2005,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.82,PT
2006,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.54,PT
2007,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.56,PT
2008,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.74,PT
2009,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.7,PT
2010,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.9,PT
2011,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.87,PT
2012,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,22.76,PT
2013,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.72,PT
2014,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.15,PT
2015,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.57,PT
2016,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.42,PT
2017,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,23.87,PT
2018,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19,PT
2019,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.19,PT
2020,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.93,PT
2021,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,25.28,PT
2022,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.99,PT
2023,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,25.59,PT
2024,FIN,Finlande,"Couple, 2 children",net_average_tax_rate,100,67,24.37,PT
2000,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.38,PT
2001,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.14,PT
2002,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.13,PT
2003,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.4,PT
2004,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.41,PT
2005,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.67,PT
2006,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.74,PT
2007,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.99,PT
2008,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.14,PT
2009,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.16,PT
2010,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.21,PT
2011,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.38,PT
2012,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.64,PT
2013,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75,PT
2014,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.07,PT
2015,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,23.16,PT
2016,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.75,PT
2017,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.68,PT
2018,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,22.15,PT
2019,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.78,PT
2020,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.39,PT
2021,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.85,PT
2022,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.99,PT
2023,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,20.88,PT
2024,FRA,France,"Couple, 2 children",net_average_tax_rate,100,67,21.15,PT
2000,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.26,PT
2001,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.22,PT
2002,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.35,PT
2003,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,34.17,PT
2004,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.24,PT
2005,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.32,PT
2006,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.7,PT
2007,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.48,PT
2008,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,33.3,PT
2009,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.94,PT
2010,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.14,PT
2011,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.92,PT
2012,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.13,PT
2013,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.88,PT
2014,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.06,PT
2015,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.21,PT
2016,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.34,PT
2017,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.37,PT
2018,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,31.43,PT
2019,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,30.97,PT
2020,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.49,PT
2021,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.2,PT
2022,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.76,PT
2023,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,28.71,PT
2024,DEU,Allemagne,"Couple, 2 children",net_average_tax_rate,100,67,29.04,PT
2000,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.04,PT
2001,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.36,PT
2002,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.26,PT
2003,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.21,PT
2004,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.96,PT
2005,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.08,PT
2006,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.54,PT
2007,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,24.51,PT
2008,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.87,PT
2009,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.68,PT
2010,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.16,PT
2011,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.82,PT
2012,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,25.77,PT
2013,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.64,PT
2014,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.4,PT
2015,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,21.93,PT
2016,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.69,PT
2017,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.76,PT
2018,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.12,PT
2019,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.27,PT
2020,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,19.99,PT
2021,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,19.66,PT
2022,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,22.79,PT
2023,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.88,PT
2024,GRC,Grèce,"Couple, 2 children",net_average_tax_rate,100,67,23.55,PT
2000,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.32,PT
2001,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,25.28,PT
2002,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.58,PT
2003,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,19.98,PT
2004,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,21.56,PT
2005,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,20.6,PT
2006,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,21.78,PT
2007,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,25.65,PT
2008,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,26.01,PT
2009,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,26.31,PT
2010,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.35,PT
2011,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,20.25,PT
2012,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.09,PT
2013,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.09,PT
2014,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.53,PT
2015,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.95,PT
2016,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.41,PT
2017,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.6,PT
2018,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,22.75,PT
2019,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,23.08,PT
2020,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.01,PT
2021,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,24.69,PT
2022,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,25.88,PT
2023,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,26.95,PT
2024,HUN,Hongrie,"Couple, 2 children",net_average_tax_rate,100,67,27.7,PT
2000,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,21.88,PT
2001,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,22.21,PT
2002,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.47,PT
2003,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.19,PT
2004,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.99,PT
2005,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.3,PT
2006,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.64,PT
2007,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.0,PT
2008,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.34,PT
2009,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,22.39,PT
2010,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.39,PT
2011,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.69,PT
2012,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.57,PT
2013,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.51,PT
2014,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.9,PT
2015,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,27.62,PT
2016,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,27.51,PT
2017,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.75,PT
2018,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.54,PT
2019,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,26.5,PT
2020,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.96,PT
2021,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.19,PT
2022,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,24.96,PT
2023,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,25.32,PT
2024,ISL,Islande,"Couple, 2 children",net_average_tax_rate,100,67,23.68,PT
2000,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.84,PT
2001,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.23,PT
2002,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.38,PT
2003,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.14,PT
2004,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.64,PT
2005,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,12.6,PT
2006,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,10.86,PT
2007,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,9.56,PT
2008,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,9.68,PT
2009,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,12.01,PT
2010,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,13.67,PT
2011,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,15.22,PT
2012,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,15.91,PT
2013,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,17.42,PT
2014,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,17.68,PT
2015,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.67,PT
2016,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.16,PT
2017,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.23,PT
2018,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,16.79,PT
2019,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,19.68,PT
2020,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.24,PT
2021,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,21.29,PT
2022,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.79,PT
2023,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.73,PT
2024,IRL,Irlande,"Couple, 2 children",net_average_tax_rate,100,67,20.91,PT
2000,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,25.15,PT
2001,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.21,PT
2002,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.49,PT
2003,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.47,PT
2004,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.96,PT
2005,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.43,PT
2006,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.3,PT
2007,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.27,PT
2008,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.93,PT
2009,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.27,PT
2010,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.03,PT
2011,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.77,PT
2012,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,25.04,PT
2013,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,24.81,PT
2014,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.26,PT
2015,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.76,PT
2016,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.81,PT
2017,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,22.84,PT
2018,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.0,PT
2019,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,23.32,PT
2020,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,21.85,PT
2021,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,21.38,PT
2022,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,17.07,PT
2023,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,15.92,PT
2024,ITA,Italie,"Couple, 2 children",net_average_tax_rate,100,67,16.58,PT
2000,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.11,PT
2001,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.03,PT
2002,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.5,PT
2003,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.86,PT
2004,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,21.12,PT
2005,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,22.62,PT
2006,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.08,PT
2007,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,21.81,PT
2008,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.04,PT
2009,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.73,PT
2010,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.27,PT
2011,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.4,PT
2012,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.73,PT
2013,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,23.26,PT
2014,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.83,PT
2015,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.25,PT
2016,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.13,PT
2017,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,20.98,PT
2018,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.91,PT
2019,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.52,PT
2020,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.96,PT
2021,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,18.42,PT
2022,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,15.98,PT
2023,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,17.46,PT
2024,LVA,Lettonie,"Couple, 2 children",net_average_tax_rate,100,67,19.12,PT
