REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
ISL,Islande,1991,Total,20-64,Employment to population ratio,85.41
IRL,Irlande,1991,Total,20-64,Employment to population ratio,57.02
ITA,Italie,1991,Total,20-64,Employment to population ratio,58.46
LUX,Luxembourg,1991,Total,20-64,Employment to population ratio,63.78
NLD,Pays-Bas,1991,Total,20-64,Employment to population ratio,65.66
NOR,Norvège,1991,Total,20-64,Employment to population ratio,76.01
PRT,Portugal,1991,Total,20-64,Employment to population ratio,71.47
ESP,Espagne,1991,Total,20-64,Employment to population ratio,55.02
SWE,Suède,1991,Total,20-64,Employment to population ratio,84.54
CHE,Suisse,1991,Total,20-64,Employment to population ratio,80.64
GBR,Royaume-Uni,1991,Total,20-64,Employment to population ratio,71.79
BEL,Belgique,1990,Total,20-64,Employment to population ratio,59.69
DNK,Danemark,1990,Total,20-64,Employment to population ratio,77.46
EST,Estonie,1990,Total,20-64,Employment to population ratio,83.51
FIN,Finlande,1990,Total,20-64,Employment to population ratio,78.49
FRA,France,1990,Total,20-64,Employment to population ratio,67.71
DEU,Allemagne,1990,Total,20-64,Employment to population ratio,66.65
GRC,Grèce,1990,Total,20-64,Employment to population ratio,59.87
IRL,Irlande,1990,Total,20-64,Employment to population ratio,57.66
ITA,Italie,1990,Total,20-64,Employment to population ratio,58.5
LUX,Luxembourg,1990,Total,20-64,Employment to population ratio,63.19
NLD,Pays-Bas,1990,Total,20-64,Employment to population ratio,64.71
NOR,Norvège,1990,Total,20-64,Employment to population ratio,76.73
PRT,Portugal,1990,Total,20-64,Employment to population ratio,69.44
ESP,Espagne,1990,Total,20-64,Employment to population ratio,54.88
SWE,Suède,1990,Total,20-64,Employment to population ratio,86.36
GBR,Royaume-Uni,1990,Total,20-64,Employment to population ratio,73.4
POL,Pologne,2000,Total,20-64,Employment to population ratio,61.0
AUT,Autriche,2010,Total,20-64,Employment to population ratio,73.91
BEL,Belgique,2010,Total,20-64,Employment to population ratio,67.58
DNK,Danemark,2010,Total,20-64,Employment to population ratio,74.97
EST,Estonie,2010,Total,20-64,Employment to population ratio,66.79
FIN,Finlande,2010,Total,20-64,Employment to population ratio,73.03
FRA,France,2010,Total,20-64,Employment to population ratio,68.86
DEU,Allemagne,2010,Total,20-64,Employment to population ratio,74.92
GRC,Grèce,2010,Total,20-64,Employment to population ratio,63.75
HUN,Hongrie,2010,Total,20-64,Employment to population ratio,62.23
ISL,Islande,2010,Total,20-64,Employment to population ratio,79.29
IRL,Irlande,2010,Total,20-64,Employment to population ratio,65.57
ITA,Italie,2010,Total,20-64,Employment to population ratio,60.99
LVA,Lettonie,2010,Total,20-64,Employment to population ratio,64.27
LTU,Lituanie,2010,Total,20-64,Employment to population ratio,64.29
LUX,Luxembourg,2010,Total,20-64,Employment to population ratio,70.69
NLD,Pays-Bas,2010,Total,20-64,Employment to population ratio,76.28
NOR,Norvège,2010,Total,20-64,Employment to population ratio,79.55
POL,Pologne,2010,Total,20-64,Employment to population ratio,64.3
PRT,Portugal,2010,Total,20-64,Employment to population ratio,70.33
SVK,République slovaque,2010,Total,20-64,Employment to population ratio,64.64
SVN,Slovénie,2010,Total,20-64,Employment to population ratio,70.32
ESP,Espagne,2010,Total,20-64,Employment to population ratio,62.85
SWE,Suède,2010,Total,20-64,Employment to population ratio,78.09
CHE,Suisse,2010,Total,20-64,Employment to population ratio,79.71
GBR,Royaume-Uni,2010,Total,20-64,Employment to population ratio,73.09
BGR,Bulgarie,2010,Total,20-64,Employment to population ratio,64.69
HRV,Croatie,2010,Total,20-64,Employment to population ratio,62.13
ROU,Roumanie,2010,Total,20-64,Employment to population ratio,64.8
AUT,Autriche,2009,Total,20-64,Employment to population ratio,73.41
BEL,Belgique,2009,Total,20-64,Employment to population ratio,67.12
DNK,Danemark,2009,Total,20-64,Employment to population ratio,76.2
EST,Estonie,2009,Total,20-64,Employment to population ratio,69.94
FIN,Finlande,2009,Total,20-64,Employment to population ratio,73.63
FRA,France,2009,Total,20-64,Employment to population ratio,69.01
DEU,Allemagne,2009,Total,20-64,Employment to population ratio,74.2
GRC,Grèce,2009,Total,20-64,Employment to population ratio,65.61
HUN,Hongrie,2009,Total,20-64,Employment to population ratio,62.47
ISL,Islande,2009,Total,20-64,Employment to population ratio,79.29
IRL,Irlande,2009,Total,20-64,Employment to population ratio,68.01
ITA,Italie,2009,Total,20-64,Employment to population ratio,61.61
LVA,Lettonie,2009,Total,20-64,Employment to population ratio,66.65
LTU,Lituanie,2009,Total,20-64,Employment to population ratio,66.99
LUX,Luxembourg,2009,Total,20-64,Employment to population ratio,70.39
NLD,Pays-Bas,2009,Total,20-64,Employment to population ratio,76.96
NOR,Norvège,2009,Total,20-64,Employment to population ratio,80.6
POL,Pologne,2009,Total,20-64,Employment to population ratio,64.94
PRT,Portugal,2009,Total,20-64,Employment to population ratio,71.08
SVK,République slovaque,2009,Total,20-64,Employment to population ratio,66.36
SVN,Slovénie,2009,Total,20-64,Employment to population ratio,71.86
ESP,Espagne,2009,Total,20-64,Employment to population ratio,63.95
SWE,Suède,2009,Total,20-64,Employment to population ratio,78.34
CHE,Suisse,2009,Total,20-64,Employment to population ratio,81.68
GBR,Royaume-Uni,2009,Total,20-64,Employment to population ratio,73.39
BGR,Bulgarie,2009,Total,20-64,Employment to population ratio,68.84
HRV,Croatie,2009,Total,20-64,Employment to population ratio,64.24
ROU,Roumanie,2009,Total,20-64,Employment to population ratio,63.47
AUT,Autriche,2011,Total,20-64,Employment to population ratio,74.16
BEL,Belgique,2011,Total,20-64,Employment to population ratio,67.28
DNK,Danemark,2011,Total,20-64,Employment to population ratio,74.9
EST,Estonie,2011,Total,20-64,Employment to population ratio,70.56
FIN,Finlande,2011,Total,20-64,Employment to population ratio,73.88
FRA,France,2011,Total,20-64,Employment to population ratio,68.76
DEU,Allemagne,2011,Total,20-64,Employment to population ratio,76.47
GRC,Grèce,2011,Total,20-64,Employment to population ratio,59.59
HUN,Hongrie,2011,Total,20-64,Employment to population ratio,62.76
ISL,Islande,2011,Total,20-64,Employment to population ratio,79.27
IRL,Irlande,2011,Total,20-64,Employment to population ratio,64.58
ITA,Italie,2011,Total,20-64,Employment to population ratio,61.04
LVA,Lettonie,2011,Total,20-64,Employment to population ratio,66.34
LTU,Lituanie,2011,Total,20-64,Employment to population ratio,66.88
LUX,Luxembourg,2011,Total,20-64,Employment to population ratio,70.1
NLD,Pays-Bas,2011,Total,20-64,Employment to population ratio,76.42
NOR,Norvège,2011,Total,20-64,Employment to population ratio,79.64
POL,Pologne,2011,Total,20-64,Employment to population ratio,64.51
SVK,République slovaque,2011,Total,20-64,Employment to population ratio,64.97
SVN,Slovénie,2011,Total,20-64,Employment to population ratio,68.38
ESP,Espagne,2011,Total,20-64,Employment to population ratio,61.97
SWE,Suède,2011,Total,20-64,Employment to population ratio,79.37
CHE,Suisse,2011,Total,20-64,Employment to population ratio,80.75
GBR,Royaume-Uni,2011,Total,20-64,Employment to population ratio,72.92
BGR,Bulgarie,2011,Total,20-64,Employment to population ratio,62.94
HRV,Croatie,2011,Total,20-64,Employment to population ratio,59.84
ROU,Roumanie,2011,Total,20-64,Employment to population ratio,63.82
AUT,Autriche,2012,Total,20-64,Employment to population ratio,74.44
BEL,Belgique,2012,Total,20-64,Employment to population ratio,67.2
DNK,Danemark,2012,Total,20-64,Employment to population ratio,74.4
EST,Estonie,2012,Total,20-64,Employment to population ratio,72.19
FIN,Finlande,2012,Total,20-64,Employment to population ratio,74.09
FRA,France,2012,Total,20-64,Employment to population ratio,68.95
DEU,Allemagne,2012,Total,20-64,Employment to population ratio,76.86
GRC,Grèce,2012,Total,20-64,Employment to population ratio,54.97
HUN,Hongrie,2012,Total,20-64,Employment to population ratio,63.78
ISL,Islande,2012,Total,20-64,Employment to population ratio,80.17
IRL,Irlande,2012,Total,20-64,Employment to population ratio,64.47
ITA,Italie,2012,Total,20-64,Employment to population ratio,60.86
LVA,Lettonie,2012,Total,20-64,Employment to population ratio,68.1
LTU,Lituanie,2012,Total,20-64,Employment to population ratio,68.49
LUX,Luxembourg,2012,Total,20-64,Employment to population ratio,71.4
NLD,Pays-Bas,2012,Total,20-64,Employment to population ratio,76.63
NOR,Norvège,2012,Total,20-64,Employment to population ratio,79.91
POL,Pologne,2012,Total,20-64,Employment to population ratio,64.72
SVK,République slovaque,2012,Total,20-64,Employment to population ratio,65.06
SVN,Slovénie,2012,Total,20-64,Employment to population ratio,68.28
ESP,Espagne,2012,Total,20-64,Employment to population ratio,59.63
SWE,Suède,2012,Total,20-64,Employment to population ratio,79.41
CHE,Suisse,2012,Total,20-64,Employment to population ratio,81.03
GBR,Royaume-Uni,2012,Total,20-64,Employment to population ratio,73.49
BGR,Bulgarie,2012,Total,20-64,Employment to population ratio,62.98
ROU,Roumanie,2012,Total,20-64,Employment to population ratio,64.79
AUT,Autriche,2014,Total,20-64,Employment to population ratio,74.17
BEL,Belgique,2014,Total,20-64,Employment to population ratio,67.27
DNK,Danemark,2014,Total,20-64,Employment to population ratio,74.77
EST,Estonie,2014,Total,20-64,Employment to population ratio,74.3
FIN,Finlande,2014,Total,20-64,Employment to population ratio,73.15
FRA,France,2014,Total,20-64,Employment to population ratio,69.25
DEU,Allemagne,2014,Total,20-64,Employment to population ratio,77.71
GRC,Grèce,2014,Total,20-64,Employment to population ratio,53.32
HUN,Hongrie,2014,Total,20-64,Employment to population ratio,68.74
ISL,Islande,2014,Total,20-64,Employment to population ratio,81.98
IRL,Irlande,2014,Total,20-64,Employment to population ratio,68.14
ITA,Italie,2014,Total,20-64,Employment to population ratio,59.9
LVA,Lettonie,2014,Total,20-64,Employment to population ratio,70.72
LTU,Lituanie,2014,Total,20-64,Employment to population ratio,71.82
LUX,Luxembourg,2014,Total,20-64,Employment to population ratio,72.05
NLD,Pays-Bas,2014,Total,20-64,Employment to population ratio,76.28
NOR,Norvège,2014,Total,20-64,Employment to population ratio,79.57
POL,Pologne,2014,Total,20-64,Employment to population ratio,66.5
SVK,République slovaque,2014,Total,20-64,Employment to population ratio,65.92
SVN,Slovénie,2014,Total,20-64,Employment to population ratio,67.74
ESP,Espagne,2014,Total,20-64,Employment to population ratio,59.9
SWE,Suède,2014,Total,20-64,Employment to population ratio,79.95
CHE,Suisse,2014,Total,20-64,Employment to population ratio,81.15
GBR,Royaume-Uni,2014,Total,20-64,Employment to population ratio,75.42
BGR,Bulgarie,2014,Total,20-64,Employment to population ratio,65.07
ROU,Roumanie,2014,Total,20-64,Employment to population ratio,65.7
AUT,Autriche,2015,Total,20-64,Employment to population ratio,74.26
BEL,Belgique,2015,Total,20-64,Employment to population ratio,67.17
DNK,Danemark,2015,Total,20-64,Employment to population ratio,75.55
EST,Estonie,2015,Total,20-64,Employment to population ratio,76.43
FIN,Finlande,2015,Total,20-64,Employment to population ratio,72.93
FRA,France,2015,Total,20-64,Employment to population ratio,69.53
DEU,Allemagne,2015,Total,20-64,Employment to population ratio,77.96
GRC,Grèce,2015,Total,20-64,Employment to population ratio,54.9
HUN,Hongrie,2015,Total,20-64,Employment to population ratio,70.93
ISL,Islande,2015,Total,20-64,Employment to population ratio,83.95
IRL,Irlande,2015,Total,20-64,Employment to population ratio,69.89
ITA,Italie,2015,Total,20-64,Employment to population ratio,60.53
LVA,Lettonie,2015,Total,20-64,Employment to population ratio,72.52
LTU,Lituanie,2015,Total,20-64,Employment to population ratio,73.35
LUX,Luxembourg,2015,Total,20-64,Employment to population ratio,70.94
NLD,Pays-Bas,2015,Total,20-64,Employment to population ratio,77.29
NOR,Norvège,2015,Total,20-64,Employment to population ratio,79.08
POL,Pologne,2015,Total,20-64,Employment to population ratio,67.76
SVK,République slovaque,2015,Total,20-64,Employment to population ratio,67.65
SVN,Slovénie,2015,Total,20-64,Employment to population ratio,69.1
ESP,Espagne,2015,Total,20-64,Employment to population ratio,61.97
SWE,Suède,2015,Total,20-64,Employment to population ratio,80.47
CHE,Suisse,2015,Total,20-64,Employment to population ratio,81.66
GBR,Royaume-Uni,2015,Total,20-64,Employment to population ratio,76.54
BGR,Bulgarie,2015,Total,20-64,Employment to population ratio,67.12
ROU,Roumanie,2015,Total,20-64,Employment to population ratio,66.03
AUT,Autriche,2013,Total,20-64,Employment to population ratio,74.56
BEL,Belgique,2013,Total,20-64,Employment to population ratio,67.2
DNK,Danemark,2013,Total,20-64,Employment to population ratio,74.43
EST,Estonie,2013,Total,20-64,Employment to population ratio,73.32
FIN,Finlande,2013,Total,20-64,Employment to population ratio,73.43
FRA,France,2013,Total,20-64,Employment to population ratio,68.99
DEU,Allemagne,2013,Total,20-64,Employment to population ratio,77.31
GRC,Grèce,2013,Total,20-64,Employment to population ratio,52.87
HUN,Hongrie,2013,Total,20-64,Employment to population ratio,65.2
ISL,Islande,2013,Total,20-64,Employment to population ratio,81.53
IRL,Irlande,2013,Total,20-64,Employment to population ratio,66.47
ITA,Italie,2013,Total,20-64,Employment to population ratio,59.72
LVA,Lettonie,2013,Total,20-64,Employment to population ratio,69.69
LTU,Lituanie,2013,Total,20-64,Employment to population ratio,69.86
LUX,Luxembourg,2013,Total,20-64,Employment to population ratio,71.08
NLD,Pays-Bas,2013,Total,20-64,Employment to population ratio,76.69
NOR,Norvège,2013,Total,20-64,Employment to population ratio,79.63
POL,Pologne,2013,Total,20-64,Employment to population ratio,64.86
SVK,République slovaque,2013,Total,20-64,Employment to population ratio,65.02
SVN,Slovénie,2013,Total,20-64,Employment to population ratio,67.22
ESP,Espagne,2013,Total,20-64,Employment to population ratio,58.62
SWE,Suède,2013,Total,20-64,Employment to population ratio,79.75
CHE,Suisse,2013,Total,20-64,Employment to population ratio,80.81
GBR,Royaume-Uni,2013,Total,20-64,Employment to population ratio,74.34
BGR,Bulgarie,2013,Total,20-64,Employment to population ratio,63.54
ROU,Roumanie,2013,Total,20-64,Employment to population ratio,64.68
AUT,Autriche,2017,Total,20-64,Employment to population ratio,75.4
BEL,Belgique,2017,Total,20-64,Employment to population ratio,68.51
DNK,Danemark,2017,Total,20-64,Employment to population ratio,76.64
EST,Estonie,2017,Total,20-64,Employment to population ratio,78.67
FIN,Finlande,2017,Total,20-64,Employment to population ratio,74.28
FRA,France,2017,Total,20-64,Employment to population ratio,70.57
DEU,Allemagne,2017,Total,20-64,Employment to population ratio,79.21
GRC,Grèce,2017,Total,20-64,Employment to population ratio,57.76
HUN,Hongrie,2017,Total,20-64,Employment to population ratio,75.4
ISL,Islande,2017,Total,20-64,Employment to population ratio,84.89
IRL,Irlande,2017,Total,20-64,Employment to population ratio,73.06
ITA,Italie,2017,Total,20-64,Employment to population ratio,62.34
LVA,Lettonie,2017,Total,20-64,Employment to population ratio,74.76
LTU,Lituanie,2017,Total,20-64,Employment to population ratio,75.98
LUX,Luxembourg,2017,Total,20-64,Employment to population ratio,71.53
NLD,Pays-Bas,2017,Total,20-64,Employment to population ratio,79.01
NOR,Norvège,2017,Total,20-64,Employment to population ratio,78.27
POL,Pologne,2017,Total,20-64,Employment to population ratio,70.89
SVK,République slovaque,2017,Total,20-64,Employment to population ratio,71.11
SVN,Slovénie,2017,Total,20-64,Employment to population ratio,73.41
ESP,Espagne,2017,Total,20-64,Employment to population ratio,65.55
SWE,Suède,2017,Total,20-64,Employment to population ratio,81.8
CHE,Suisse,2017,Total,20-64,Employment to population ratio,82.13
GBR,Royaume-Uni,2017,Total,20-64,Employment to population ratio,77.75
BGR,Bulgarie,2017,Total,20-64,Employment to population ratio,71.34
ROU,Roumanie,2017,Total,20-64,Employment to population ratio,68.83
AUT,Autriche,2016,Total,20-64,Employment to population ratio,74.81
BEL,Belgique,2016,Total,20-64,Employment to population ratio,67.68
DNK,Danemark,2016,Total,20-64,Employment to population ratio,76.12
EST,Estonie,2016,Total,20-64,Employment to population ratio,76.51
FIN,Finlande,2016,Total,20-64,Employment to population ratio,73.46
FRA,France,2016,Total,20-64,Employment to population ratio,69.97
DEU,Allemagne,2016,Total,20-64,Employment to population ratio,78.62
GRC,Grèce,2016,Total,20-64,Employment to population ratio,56.19
HUN,Hongrie,2016,Total,20-64,Employment to population ratio,73.7
ISL,Islande,2016,Total,20-64,Employment to population ratio,85.54
IRL,Irlande,2016,Total,20-64,Employment to population ratio,71.42
ITA,Italie,2016,Total,20-64,Employment to population ratio,61.56
LVA,Lettonie,2016,Total,20-64,Employment to population ratio,73.22
LTU,Lituanie,2016,Total,20-64,Employment to population ratio,75.18
LUX,Luxembourg,2016,Total,20-64,Employment to population ratio,70.67
NLD,Pays-Bas,2016,Total,20-64,Employment to population ratio,78.08
NOR,Norvège,2016,Total,20-64,Employment to population ratio,78.59
POL,Pologne,2016,Total,20-64,Employment to population ratio,69.3
SVK,République slovaque,2016,Total,20-64,Employment to population ratio,69.81
SVN,Slovénie,2016,Total,20-64,Employment to population ratio,70.06
ESP,Espagne,2016,Total,20-64,Employment to population ratio,63.87
SWE,Suède,2016,Total,20-64,Employment to population ratio,81.16
CHE,Suisse,2016,Total,20-64,Employment to population ratio,82.02
GBR,Royaume-Uni,2016,Total,20-64,Employment to population ratio,76.9
BGR,Bulgarie,2016,Total,20-64,Employment to population ratio,67.67
ROU,Roumanie,2016,Total,20-64,Employment to population ratio,66.31
AUT,Autriche,2018,Total,20-64,Employment to population ratio,76.15
BEL,Belgique,2018,Total,20-64,Employment to population ratio,69.72
DNK,Danemark,2018,Total,20-64,Employment to population ratio,77.67
EST,Estonie,2018,Total,20-64,Employment to population ratio,79.43
FIN,Finlande,2018,Total,20-64,Employment to population ratio,76.41
FRA,France,2018,Total,20-64,Employment to population ratio,71.3
DEU,Allemagne,2018,Total,20-64,Employment to population ratio,79.92
GRC,Grèce,2018,Total,20-64,Employment to population ratio,59.47
ISL,Islande,2018,Total,20-64,Employment to population ratio,83.84
IRL,Irlande,2018,Total,20-64,Employment to population ratio,74.32
ITA,Italie,2018,Total,20-64,Employment to population ratio,63.04
LVA,Lettonie,2018,Total,20-64,Employment to population ratio,76.84
LTU,Lituanie,2018,Total,20-64,Employment to population ratio,77.83
LUX,Luxembourg,2018,Total,20-64,Employment to population ratio,72.07
NLD,Pays-Bas,2018,Total,20-64,Employment to population ratio,80.16
NOR,Norvège,2018,Total,20-64,Employment to population ratio,79.2
POL,Pologne,2018,Total,20-64,Employment to population ratio,72.17
SVK,République slovaque,2018,Total,20-64,Employment to population ratio,72.42
SVN,Slovénie,2018,Total,20-64,Employment to population ratio,75.44
ESP,Espagne,2018,Total,20-64,Employment to population ratio,67.01
SWE,Suède,2018,Total,20-64,Employment to population ratio,82.37
CHE,Suisse,2018,Total,20-64,Employment to population ratio,82.49
GBR,Royaume-Uni,2018,Total,20-64,Employment to population ratio,77.95
BGR,Bulgarie,2018,Total,20-64,Employment to population ratio,72.41
ROU,Roumanie,2018,Total,20-64,Employment to population ratio,69.87
AUT,Autriche,2019,Total,20-64,Employment to population ratio,76.79
BEL,Belgique,2019,Total,20-64,Employment to population ratio,70.5
DNK,Danemark,2019,Total,20-64,Employment to population ratio,78.49
EST,Estonie,2019,Total,20-64,Employment to population ratio,80.06
FIN,Finlande,2019,Total,20-64,Employment to population ratio,77.28
FRA,France,2019,Total,20-64,Employment to population ratio,71.57
DEU,Allemagne,2019,Total,20-64,Employment to population ratio,80.65
GRC,Grèce,2019,Total,20-64,Employment to population ratio,61.19
ISL,Islande,2019,Total,20-64,Employment to population ratio,83.46
IRL,Irlande,2019,Total,20-64,Employment to population ratio,75.47
ITA,Italie,2019,Total,20-64,Employment to population ratio,63.61
LVA,Lettonie,2019,Total,20-64,Employment to population ratio,77.36
LTU,Lituanie,2019,Total,20-64,Employment to population ratio,78.2
LUX,Luxembourg,2019,Total,20-64,Employment to population ratio,72.75
NLD,Pays-Bas,2019,Total,20-64,Employment to population ratio,81.1
NOR,Norvège,2019,Total,20-64,Employment to population ratio,79.47
SVK,République slovaque,2019,Total,20-64,Employment to population ratio,73.4
SVN,Slovénie,2019,Total,20-64,Employment to population ratio,76.44
ESP,Espagne,2019,Total,20-64,Employment to population ratio,68.03
SWE,Suède,2019,Total,20-64,Employment to population ratio,82.12
CHE,Suisse,2019,Total,20-64,Employment to population ratio,82.95
GBR,Royaume-Uni,2019,Total,20-64,Employment to population ratio,78.6
ROU,Roumanie,2019,Total,20-64,Employment to population ratio,70.92
AUT,Autriche,2020,Total,20-64,Employment to population ratio,75.5
BEL,Belgique,2020,Total,20-64,Employment to population ratio,70.03
EST,Estonie,2020,Total,20-64,Employment to population ratio,78.99
FIN,Finlande,2020,Total,20-64,Employment to population ratio,76.56
FRA,France,2020,Total,20-64,Employment to population ratio,71.4
DEU,Allemagne,2020,Total,20-64,Employment to population ratio,79.18
GRC,Grèce,2020,Total,20-64,Employment to population ratio,61.14
ISL,Islande,2020,Total,20-64,Employment to population ratio,80.06
IRL,Irlande,2020,Total,20-64,Employment to population ratio,73.84
ITA,Italie,2020,Total,20-64,Employment to population ratio,62.54
LVA,Lettonie,2020,Total,20-64,Employment to population ratio,77.02
LTU,Lituanie,2020,Total,20-64,Employment to population ratio,76.65
LUX,Luxembourg,2020,Total,20-64,Employment to population ratio,72.12
NLD,Pays-Bas,2020,Total,20-64,Employment to population ratio,80.84
NOR,Norvège,2020,Total,20-64,Employment to population ratio,78.82
SVK,République slovaque,2020,Total,20-64,Employment to population ratio,72.47
SVN,Slovénie,2020,Total,20-64,Employment to population ratio,75.61
ESP,Espagne,2020,Total,20-64,Employment to population ratio,65.73
SWE,Suède,2020,Total,20-64,Employment to population ratio,80.77
CHE,Suisse,2020,Total,20-64,Employment to population ratio,82.47
GBR,Royaume-Uni,2020,Total,20-64,Employment to population ratio,78.28
ROU,Roumanie,2020,Total,20-64,Employment to population ratio,70.77
AUT,Autriche,2021,Total,20-64,Employment to population ratio,75.59
BEL,Belgique,2021,Total,20-64,Employment to population ratio,70.62
DNK,Danemark,2021,Total,20-64,Employment to population ratio,79.14
EST,Estonie,2021,Total,20-64,Employment to population ratio,79.34
FIN,Finlande,2021,Total,20-64,Employment to population ratio,76.92
FRA,France,2021,Total,20-64,Employment to population ratio,73.19
DEU,Allemagne,2021,Total,20-64,Employment to population ratio,79.37
GRC,Grèce,2021,Total,20-64,Employment to population ratio,62.56
ISL,Islande,2021,Total,20-64,Employment to population ratio,81.38
ITA,Italie,2021,Total,20-64,Employment to population ratio,62.75
LVA,Lettonie,2021,Total,20-64,Employment to population ratio,75.29
LTU,Lituanie,2021,Total,20-64,Employment to population ratio,77.42
LUX,Luxembourg,2021,Total,20-64,Employment to population ratio,74.09
NLD,Pays-Bas,2021,Total,20-64,Employment to population ratio,81.66
NOR,Norvège,2021,Total,20-64,Employment to population ratio,79.95
SVK,République slovaque,2021,Total,20-64,Employment to population ratio,74.64
SVN,Slovénie,2021,Total,20-64,Employment to population ratio,76.09
ESP,Espagne,2021,Total,20-64,Employment to population ratio,67.48
SWE,Suède,2021,Total,20-64,Employment to population ratio,80.44
GBR,Royaume-Uni,2021,Total,20-64,Employment to population ratio,78.05
ROU,Roumanie,2021,Total,20-64,Employment to population ratio,67.08
AUT,Autriche,2022,Total,20-64,Employment to population ratio,77.27
BEL,Belgique,2022,Total,20-64,Employment to population ratio,71.94
DNK,Danemark,2022,Total,20-64,Employment to population ratio,80.49
EST,Estonie,2022,Total,20-64,Employment to population ratio,81.85
FIN,Finlande,2022,Total,20-64,Employment to population ratio,78.46
FRA,France,2022,Total,20-64,Employment to population ratio,74.04
GRC,Grèce,2022,Total,20-64,Employment to population ratio,66.32
ISL,Islande,2022,Total,20-64,Employment to population ratio,84.84
ITA,Italie,2022,Total,20-64,Employment to population ratio,64.81
LVA,Lettonie,2022,Total,20-64,Employment to population ratio,76.98
LTU,Lituanie,2022,Total,20-64,Employment to population ratio,79.0
LUX,Luxembourg,2022,Total,20-64,Employment to population ratio,74.79
NLD,Pays-Bas,2022,Total,20-64,Employment to population ratio,82.92
NOR,Norvège,2022,Total,20-64,Employment to population ratio,80.88
SVK,République slovaque,2022,Total,20-64,Employment to population ratio,76.71
SVN,Slovénie,2022,Total,20-64,Employment to population ratio,77.93
ESP,Espagne,2022,Total,20-64,Employment to population ratio,69.3
SWE,Suède,2022,Total,20-64,Employment to population ratio,82.04
GBR,Royaume-Uni,2022,Total,20-64,Employment to population ratio,78.48
BGR,Bulgarie,2022,Total,20-64,Employment to population ratio,75.87
ROU,Roumanie,2022,Total,20-64,Employment to population ratio,68.54
PRT,Portugal,2011,Total,20-64,Employment to population ratio,66.62
PRT,Portugal,2015,Total,20-64,Employment to population ratio,67.89
HRV,Croatie,2015,Total,20-64,Employment to population ratio,60.51
PRT,Portugal,2014,Total,20-64,Employment to population ratio,66.06
HRV,Croatie,2014,Total,20-64,Employment to population ratio,59.13
HRV,Croatie,2012,Total,20-64,Employment to population ratio,58.06
PRT,Portugal,2012,Total,20-64,Employment to population ratio,64.04
HRV,Croatie,2013,Total,20-64,Employment to population ratio,57.18
PRT,Portugal,2013,Total,20-64,Employment to population ratio,63.37
PRT,Portugal,2016,Total,20-64,Employment to population ratio,69.5
HRV,Croatie,2016,Total,20-64,Employment to population ratio,61.3
PRT,Portugal,2017,Total,20-64,Employment to population ratio,72.46
HRV,Croatie,2017,Total,20-64,Employment to population ratio,63.24
HUN,Hongrie,2018,Total,20-64,Employment to population ratio,74.5
PRT,Portugal,2018,Total,20-64,Employment to population ratio,74.64
HRV,Croatie,2018,Total,20-64,Employment to population ratio,64.85
HUN,Hongrie,2019,Total,20-64,Employment to population ratio,75.45
POL,Pologne,2019,Total,20-64,Employment to population ratio,73.27
PRT,Portugal,2019,Total,20-64,Employment to population ratio,75.4
BGR,Bulgarie,2019,Total,20-64,Employment to population ratio,75.04
HRV,Croatie,2019,Total,20-64,Employment to population ratio,66.41
DNK,Danemark,2020,Total,20-64,Employment to population ratio,77.9
HUN,Hongrie,2020,Total,20-64,Employment to population ratio,75.17
POL,Pologne,2020,Total,20-64,Employment to population ratio,73.67
PRT,Portugal,2020,Total,20-64,Employment to population ratio,73.89
BGR,Bulgarie,2020,Total,20-64,Employment to population ratio,73.55
HRV,Croatie,2020,Total,20-64,Employment to population ratio,66.86
HUN,Hongrie,2021,Total,20-64,Employment to population ratio,78.9
IRL,Irlande,2021,Total,20-64,Employment to population ratio,75.41
POL,Pologne,2021,Total,20-64,Employment to population ratio,75.47
PRT,Portugal,2021,Total,20-64,Employment to population ratio,75.46
BGR,Bulgarie,2021,Total,20-64,Employment to population ratio,73.29
HRV,Croatie,2021,Total,20-64,Employment to population ratio,68.56
DEU,Allemagne,2022,Total,20-64,Employment to population ratio,80.59
HUN,Hongrie,2022,Total,20-64,Employment to population ratio,80.29
IRL,Irlande,2022,Total,20-64,Employment to population ratio,78.96
POL,Pologne,2022,Total,20-64,Employment to population ratio,76.73
PRT,Portugal,2022,Total,20-64,Employment to population ratio,77.13
HRV,Croatie,2022,Total,20-64,Employment to population ratio,70.15
CHE,Suisse,2023,Total,20-64,Employment to population ratio,83.08
CHE,Suisse,2022,Total,20-64,Employment to population ratio,82.4
CHE,Suisse,2021,Total,20-64,Employment to population ratio,82.05
AUT,Autriche,2023,Total,20-64,Employment to population ratio,77.2
BEL,Belgique,2023,Total,20-64,Employment to population ratio,72.09
DNK,Danemark,2023,Total,20-64,Employment to population ratio,80.13
EST,Estonie,2023,Total,20-64,Employment to population ratio,82.14
FIN,Finlande,2023,Total,20-64,Employment to population ratio,78.28
FRA,France,2023,Total,20-64,Employment to population ratio,74.38
GRC,Grèce,2023,Total,20-64,Employment to population ratio,67.43
ISL,Islande,2023,Total,20-64,Employment to population ratio,85.32
ITA,Italie,2023,Total,20-64,Employment to population ratio,66.26
LVA,Lettonie,2023,Total,20-64,Employment to population ratio,77.51
