REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
BEL,Belgique,2005,Total,20-64,Employment to population ratio,66.5
DNK,Danemark,2005,Total,20-64,Employment to population ratio,78.18
EST,Estonie,2005,Total,20-64,Employment to population ratio,71.5
FIN,Finlande,2005,Total,20-64,Employment to population ratio,73.0
FRA,France,2005,Total,20-64,Employment to population ratio,68.93
DEU,Allemagne,2005,Total,20-64,Employment to population ratio,69.41
GRC,Grèce,2005,Total,20-64,Employment to population ratio,64.45
HUN,Hongrie,2005,Total,20-64,Employment to population ratio,62.23
ISL,Islande,2005,Total,20-64,Employment to population ratio,84.48
IRL,Irlande,2005,Total,20-64,Employment to population ratio,73.88
ITA,Italie,2005,Total,20-64,Employment to population ratio,61.44
LVA,Lettonie,2005,Total,20-64,Employment to population ratio,69.12
LTU,Lituanie,2005,Total,20-64,Employment to population ratio,70.65
LUX,Luxembourg,2005,Total,20-64,Employment to population ratio,69.01
NLD,Pays-Bas,2005,Total,20-64,Employment to population ratio,72.96
NOR,Norvège,2005,Total,20-64,Employment to population ratio,78.15
POL,Pologne,2005,Total,20-64,Employment to population ratio,58.03
PRT,Portugal,2005,Total,20-64,Employment to population ratio,72.21
SVK,République slovaque,2005,Total,20-64,Employment to population ratio,64.51
SVN,Slovénie,2005,Total,20-64,Employment to population ratio,71.08
ESP,Espagne,2005,Total,20-64,Employment to population ratio,67.53
SWE,Suède,2005,Total,20-64,Employment to population ratio,78.2
CHE,Suisse,2005,Total,20-64,Employment to population ratio,79.91
GBR,Royaume-Uni,2005,Total,20-64,Employment to population ratio,74.76
BGR,Bulgarie,2005,Total,20-64,Employment to population ratio,61.88
HRV,Croatie,2005,Total,20-64,Employment to population ratio,59.98
ROU,Roumanie,2005,Total,20-64,Employment to population ratio,63.62
AUT,Autriche,2002,Total,20-64,Employment to population ratio,71.77
BEL,Belgique,2002,Total,20-64,Employment to population ratio,64.96
DNK,Danemark,2002,Total,20-64,Employment to population ratio,77.83
EST,Estonie,2002,Total,20-64,Employment to population ratio,67.79
FIN,Finlande,2002,Total,20-64,Employment to population ratio,72.71
FRA,France,2002,Total,20-64,Employment to population ratio,69.35
DEU,Allemagne,2002,Total,20-64,Employment to population ratio,68.75
GRC,Grèce,2002,Total,20-64,Employment to population ratio,62.49
HUN,Hongrie,2002,Total,20-64,Employment to population ratio,61.44
ISL,Islande,2002,Total,20-64,Employment to population ratio,87.37
IRL,Irlande,2002,Total,20-64,Employment to population ratio,72.17
ITA,Italie,2002,Total,20-64,Employment to population ratio,59.44
LVA,Lettonie,2002,Total,20-64,Employment to population ratio,66.51
LTU,Lituanie,2002,Total,20-64,Employment to population ratio,67.19
LUX,Luxembourg,2002,Total,20-64,Employment to population ratio,68.4
