Year,REF_AREA,Country,Age,Sex,Unit_measure,Unit_mult,Value_population
1991,LUX,Luxembourg,0-19,Total,PT_POP,0,17.46
1991,LVA,Lettonie,0-19,Total,PS,0,754322.0
1991,LVA,Lettonie,0-19,Total,PT_POP,0,21.45
1991,NLD,Pays-Bas,0-19,Total,PS,0,3786164.0
1991,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.24
1991,NOR,Norvège,0-19,Total,PS,0,1117115.0
1991,NOR,Norvège,0-19,Total,PT_POP,0,18.96
1991,POL,Pologne,0-19,Total,PS,0,12420557.0
1991,POL,Pologne,0-19,Total,PT_POP,0,24.94
1991,PRT,Portugal,0-19,Total,PS,0,2847528.0
1991,PRT,Portugal,0-19,Total,PT_POP,0,19.99
1991,ROU,Roumanie,0-19,Total,PS,0,7280619.0
1991,ROU,Roumanie,0-19,Total,PT_POP,0,23.27
1991,SVK,République slovaque,0-19,Total,PS,0,1770969.0
1991,SVK,République slovaque,0-19,Total,PT_POP,0,25.05
1991,SVN,Slovénie,0-19,Total,PS,0,557376.0
1991,SVN,Slovénie,0-19,Total,PT_POP,0,20.55
1991,SWE,Suède,0-19,Total,PS,0,2111498.0
1991,SWE,Suède,0-19,Total,PT_POP,0,18.02
1992,AUT,Autriche,0-19,Total,PS,0,1864333.0
1992,AUT,Autriche,0-19,Total,PT_POP,0,17.63
1992,BEL,Belgique,0-19,Total,PS,0,2451278.0
1992,BEL,Belgique,0-19,Total,PT_POP,0,18.17
1992,BGR,Bulgarie,0-19,Total,PS,0,2319651.0
1992,BGR,Bulgarie,0-19,Total,PT_POP,0,19.6
1992,CHE,Suisse,0-19,Total,PS,0,1587726.0
1992,CHE,Suisse,0-19,Total,PT_POP,0,17.24
1992,DEU,Allemagne,0-19,Total,PS,0,17293845.0
1992,DEU,Allemagne,0-19,Total,PT_POP,0,16.32
1992,DNK,Danemark,0-19,Total,PS,0,1234777.0
1992,DNK,Danemark,0-19,Total,PT_POP,0,16.95
1992,ESP,Espagne,0-19,Total,PS,0,10690253.0
1992,ESP,Espagne,0-19,Total,PT_POP,0,18.77
1992,EST,Estonie,0-19,Total,PS,0,449563.0
1992,EST,Estonie,0-19,Total,PT_POP,0,21.99
1992,FIN,Finlande,0-19,Total,PS,0,1275278.0
1992,FIN,Finlande,0-19,Total,PT_POP,0,19.2
1992,FRA,France,0-19,Total,PS,0,15473515.0
1992,FRA,France,0-19,Total,PT_POP,0,20.02
1992,GBR,Royaume-Uni,0-19,Total,PS,0,14676000.0
1992,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.35
1992,GRC,Grèce,0-19,Total,PS,0,2704071.0
1992,GRC,Grèce,0-19,Total,PT_POP,0,18.55
1992,HUN,Hongrie,0-19,Total,PS,0,2862477.0
1992,HUN,Hongrie,0-19,Total,PT_POP,0,19.46
1992,IRL,Irlande,0-19,Total,PS,0,1267009.0
1992,IRL,Irlande,0-19,Total,PT_POP,0,26.31
1992,ISL,Islande,0-19,Total,PS,0,85787.0
1992,ISL,Islande,0-19,Total,PT_POP,0,24.75
1992,ITA,Italie,0-19,Total,PS,0,12951455.0
1992,ITA,Italie,0-19,Total,PT_POP,0,15.41
1992,LTU,Lituanie,0-19,Total,PS,0,1099293.0
1992,LTU,Lituanie,0-19,Total,PT_POP,0,22.46
1992,LUX,Luxembourg,0-19,Total,PS,0,90358.0
1992,LUX,Luxembourg,0-19,Total,PT_POP,0,17.67
1992,LVA,Lettonie,0-19,Total,PS,0,741852.0
1992,LVA,Lettonie,0-19,Total,PT_POP,0,21.52
1992,NLD,Pays-Bas,0-19,Total,PS,0,3762239.0
1992,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.28
1992,NOR,Norvège,0-19,Total,PS,0,1114344.0
1992,NOR,Norvège,0-19,Total,PT_POP,0,19.05
1992,POL,Pologne,0-19,Total,PS,0,12409454.0
1992,POL,Pologne,0-19,Total,PT_POP,0,24.57
1992,PRT,Portugal,0-19,Total,PS,0,2776715.0
1992,PRT,Portugal,0-19,Total,PT_POP,0,19.36
1992,ROU,Roumanie,0-19,Total,PS,0,7098838.0
1992,ROU,Roumanie,0-19,Total,PT_POP,0,22.72
1992,SVK,République slovaque,0-19,Total,PS,0,1756368.0
1992,SVK,République slovaque,0-19,Total,PT_POP,0,24.58
1992,SVN,Slovénie,0-19,Total,PS,0,549040.0
1992,SVN,Slovénie,0-19,Total,PT_POP,0,20.05
1992,SWE,Suède,0-19,Total,PS,0,2127326.0
1992,SWE,Suède,0-19,Total,PT_POP,0,18.25
1993,AUT,Autriche,0-19,Total,PS,0,1876578.0
1993,AUT,Autriche,0-19,Total,PT_POP,0,17.75
1993,BEL,Belgique,0-19,Total,PS,0,2447406.0
1993,BEL,Belgique,0-19,Total,PT_POP,0,18.17
1993,BGR,Bulgarie,0-19,Total,PS,0,2250550.0
1993,BGR,Bulgarie,0-19,Total,PT_POP,0,19.03
1993,CHE,Suisse,0-19,Total,PS,0,1605961.0
1993,CHE,Suisse,0-19,Total,PT_POP,0,17.44
1993,DEU,Allemagne,0-19,Total,PS,0,17402831.0
1993,DEU,Allemagne,0-19,Total,PT_POP,0,16.35
1993,DNK,Danemark,0-19,Total,PS,0,1230464.0
