,Year,REF_AREA,Country,Age,FERT_RATIO
0,1990,SVN,Slovenia,Total,1.46
1,1990,FRA,France,Total,1.78
2,1990,ROU,Romania,Total,1.83
3,1990,DNK,Denmark,Total,1.67
4,1990,FIN,Finland,Total,1.78
5,1990,NOR,Norway,Total,1.93
6,1990,SWE,Sweden,Total,2.13
7,1990,LUX,Luxembourg,Total,1.6
8,1990,LTU,Lithuania,Total,2.03
9,1990,ESP,Spain,Total,1.36
10,1990,NLD,Netherlands,Total,1.62
11,1990,EST,Estonia,Total,2.05
12,1990,IRL,Ireland,Total,2.11
13,1990,SVK,Slovak Republic,Total,2.09
14,1990,CHE,Switzerland,Total,1.58
15,1990,GRC,Greece,Total,1.4
16,1990,ISL,Iceland,Total,2.3
17,1990,HUN,Hungary,Total,1.87
18,1990,AUT,Austria,Total,1.46
19,1990,BGR,Bulgaria,Total,1.82
20,1990,PRT,Portugal,Total,1.56
21,1990,POL,Poland,Total,2.06
22,1990,ITA,Italy,Total,1.33
23,1990,BEL,Belgium,Total,1.62
24,1991,BEL,Belgium,Total,1.66
25,1991,ITA,Italy,Total,1.3
26,1991,POL,Poland,Total,2.07
27,1991,PRT,Portugal,Total,1.56
28,1991,BGR,Bulgaria,Total,1.66
29,1991,AUT,Austria,Total,1.51
30,1991,HUN,Hungary,Total,1.87
31,1991,ISL,Iceland,Total,2.18
32,1991,GRC,Greece,Total,1.37
33,1991,CHE,Switzerland,Total,1.58
34,1991,SVK,Slovak Republic,Total,2.05
35,1991,IRL,Ireland,Total,2.08
36,1991,EST,Estonia,Total,1.8
37,1991,NLD,Netherlands,Total,1.61
38,1991,ESP,Spain,Total,1.33
39,1991,LTU,Lithuania,Total,2.01
40,1991,LUX,Luxembourg,Total,1.6
41,1991,SWE,Sweden,Total,2.11
42,1991,NOR,Norway,Total,1.92
43,1991,FIN,Finland,Total,1.79
44,1991,DNK,Denmark,Total,1.68
45,1991,ROU,Romania,Total,1.59
46,1991,FRA,France,Total,1.77
47,1991,SVN,Slovenia,Total,1.42
48,1992,SVN,Slovenia,Total,1.33
49,1992,FRA,France,Total,1.73
50,1992,ROU,Romania,Total,1.51
51,1992,DNK,Denmark,Total,1.76
52,1992,FIN,Finland,Total,1.85
53,1992,NOR,Norway,Total,1.88
54,1992,SWE,Sweden,Total,2.09
55,1992,LUX,Luxembourg,Total,1.64
56,1992,LTU,Lithuania,Total,1.97
57,1992,ESP,Spain,Total,1.31
58,1992,NLD,Netherlands,Total,1.59
59,1992,EST,Estonia,Total,1.71
60,1992,IRL,Ireland,Total,1.99
61,1992,SVK,Slovak Republic,Total,1.93
62,1992,CHE,Switzerland,Total,1.58
63,1992,GRC,Greece,Total,1.36
64,1992,ISL,Iceland,Total,2.21
65,1992,HUN,Hungary,Total,1.77
66,1992,AUT,Austria,Total,1.51
67,1992,BGR,Bulgaria,Total,1.55
68,1992,PRT,Portugal,Total,1.54
69,1992,POL,Poland,Total,1.95
70,1992,ITA,Italy,Total,1.3
71,1992,BEL,Belgium,Total,1.65
72,1993,BEL,Belgium,Total,1.61
73,1993,ITA,Italy,Total,1.25
74,1993,POL,Poland,Total,1.87
75,1993,PRT,Portugal,Total,1.52
76,1993,BGR,Bulgaria,Total,1.46
77,1993,AUT,Austria,Total,1.5
78,1993,HUN,Hungary,Total,1.68
79,1993,ISL,Iceland,Total,2.22
80,1993,GRC,Greece,Total,1.32
81,1993,CHE,Switzerland,Total,1.51
82,1993,SVK,Slovak Republic,Total,1.87
83,1993,IRL,Ireland,Total,1.9
84,1993,EST,Estonia,Total,1.49
85,1993,NLD,Netherlands,Total,1.57
86,1993,ESP,Spain,Total,1.26
87,1993,LTU,Lithuania,Total,1.74
88,1993,LUX,Luxembourg,Total,1.7
89,1993,SWE,Sweden,Total,1.99
90,1993,NOR,Norway,Total,1.86
91,1993,FIN,Finland,Total,1.81
92,1993,DNK,Denmark,Total,1.75
93,1993,ROU,Romania,Total,1.43
94,1993,FRA,France,Total,1.66
95,1993,SVN,Slovenia,Total,1.33
96,1994,SVN,Slovenia,Total,1.32
97,1994,FRA,France,Total,1.66
98,1994,ROU,Romania,Total,1.4
99,1994,DNK,Denmark,Total,1.81
100,1994,FIN,Finland,Total,1.85
101,1994,NOR,Norway,Total,1.87
102,1994,SWE,Sweden,Total,1.88
103,1994,LUX,Luxembourg,Total,1.72
104,1994,LTU,Lithuania,Total,1.57
105,1994,ESP,Spain,Total,1.19
106,1994,NLD,Netherlands,Total,1.57
107,1994,EST,Estonia,Total,1.42
108,1994,IRL,Ireland,Total,1.85
109,1994,SVK,Slovak Republic,Total,1.67
110,1994,CHE,Switzerland,Total,1.49
111,1994,GRC,Greece,Total,1.33
112,1994,ISL,Iceland,Total,2.14
113,1994,HUN,Hungary,Total,1.64
114,1994,AUT,Austria,Total,1.47
115,1994,BGR,Bulgaria,Total,1.37
116,1994,PRT,Portugal,Total,1.45
117,1994,POL,Poland,Total,1.81
118,1994,ITA,Italy,Total,1.21
119,1994,BEL,Belgium,Total,1.56
120,1995,BEL,Belgium,Total,1.56
121,1995,ITA,Italy,Total,1.19
122,1995,POL,Poland,Total,1.62
123,1995,PRT,Portugal,Total,1.41
124,1995,BGR,Bulgaria,Total,1.23
125,1995,AUT,Austria,Total,1.42
126,1995,HUN,Hungary,Total,1.57
127,1995,ISL,Iceland,Total,2.08
128,1995,GRC,Greece,Total,1.28
129,1995,CHE,Switzerland,Total,1.48
130,1995,SVK,Slovak Republic,Total,1.52
131,1995,IRL,Ireland,Total,1.84
132,1995,EST,Estonia,Total,1.38
133,1995,NLD,Netherlands,Total,1.53
134,1995,ESP,Spain,Total,1.16
135,1995,LTU,Lithuania,Total,1.55
136,1995,LUX,Luxembourg,Total,1.7
137,1995,SWE,Sweden,Total,1.73
138,1995,NOR,Norway,Total,1.87
139,1995,FIN,Finland,Total,1.81
140,1995,DNK,Denmark,Total,1.8
141,1995,ROU,Romania,Total,1.33
142,1995,FRA,France,Total,1.71
143,1995,SVN,Slovenia,Total,1.29
144,1996,SVN,Slovenia,Total,1.28
145,1996,FRA,France,Total,1.73
146,1996,ROU,Romania,Total,1.3
147,1996,DNK,Denmark,Total,1.75
148,1996,FIN,Finland,Total,1.78
149,1996,NOR,Norway,Total,1.89
150,1996,SWE,Sweden,Total,1.6
151,1996,LUX,Luxembourg,Total,1.77
152,1996,LTU,Lithuania,Total,1.49
153,1996,ESP,Spain,Total,1.14
154,1996,NLD,Netherlands,Total,1.53
155,1996,EST,Estonia,Total,1.37
156,1996,IRL,Ireland,Total,1.88
157,1996,SVK,Slovak Republic,Total,1.47
158,1996,CHE,Switzerland,Total,1.5
159,1996,GRC,Greece,Total,1.26
160,1996,ISL,Iceland,Total,2.12
161,1996,HUN,Hungary,Total,1.46
162,1996,AUT,Austria,Total,1.45
163,1996,BGR,Bulgaria,Total,1.23
164,1996,PRT,Portugal,Total,1.44
165,1996,POL,Poland,Total,1.59
166,1996,ITA,Italy,Total,1.2
167,1996,BEL,Belgium,Total,1.59
168,1997,BEL,Belgium,Total,1.6
169,1997,ITA,Italy,Total,1.21
170,1997,POL,Poland,Total,1.51
171,1997,PRT,Portugal,Total,1.47
172,1997,BGR,Bulgaria,Total,1.09
173,1997,AUT,Austria,Total,1.39
174,1997,HUN,Hungary,Total,1.37
175,1997,ISL,Iceland,Total,2.04
176,1997,GRC,Greece,Total,1.27
177,1997,CHE,Switzerland,Total,1.48
178,1997,SVK,Slovak Republic,Total,1.43
179,1997,IRL,Ireland,Total,1.93
180,1997,EST,Estonia,Total,1.32
181,1997,NLD,Netherlands,Total,1.56
182,1997,ESP,Spain,Total,1.15
183,1997,LTU,Lithuania,Total,1.47
184,1997,LUX,Luxembourg,Total,1.71
185,1997,SWE,Sweden,Total,1.52
186,1997,NOR,Norway,Total,1.86
187,1997,FIN,Finland,Total,1.75
188,1997,DNK,Denmark,Total,1.75
189,1997,ROU,Romania,Total,1.32
190,1997,FRA,France,Total,1.73
191,1997,SVN,Slovenia,Total,1.25
192,1998,SVN,Slovenia,Total,1.23
193,1998,FRA,France,Total,1.78
194,1998,ROU,Romania,Total,1.32
195,1998,DNK,Denmark,Total,1.72
196,1998,FIN,Finland,Total,1.7
197,1998,NOR,Norway,Total,1.81
198,1998,SWE,Sweden,Total,1.5
199,1998,LUX,Luxembourg,Total,1.68
200,1998,LTU,Lithuania,Total,1.46
201,1998,ESP,Spain,Total,1.13
202,1998,NLD,Netherlands,Total,1.63
203,1998,EST,Estonia,Total,1.28
204,1998,IRL,Ireland,Total,1.94
205,1998,SVK,Slovak Republic,Total,1.37
206,1998,CHE,Switzerland,Total,1.47
207,1998,GRC,Greece,Total,1.24
208,1998,ISL,Iceland,Total,2.05
209,1998,HUN,Hungary,Total,1.32
210,1998,AUT,Austria,Total,1.37
211,1998,BGR,Bulgaria,Total,1.11
212,1998,PRT,Portugal,Total,1.47
213,1998,POL,Poland,Total,1.44
214,1998,ITA,Italy,Total,1.21
215,1998,BEL,Belgium,Total,1.6
216,1999,BEL,Belgium,Total,1.62
217,1999,ITA,Italy,Total,1.23
218,1999,POL,Poland,Total,1.37
219,1999,PRT,Portugal,Total,1.5
220,1999,BGR,Bulgaria,Total,1.23
