,Year,REF_AREA,Country,Age,FERT_RATIO
221,1999,AUT,Austria,Total,1.34
222,1999,HUN,Hungary,Total,1.28
223,1999,ISL,Iceland,Total,1.99
224,1999,GRC,Greece,Total,1.23
225,1999,CHE,Switzerland,Total,1.48
226,1999,SVK,Slovak Republic,Total,1.33
227,1999,IRL,Ireland,Total,1.9
228,1999,EST,Estonia,Total,1.32
229,1999,NLD,Netherlands,Total,1.65
230,1999,ESP,Spain,Total,1.17
231,1999,LTU,Lithuania,Total,1.46
232,1999,LUX,Luxembourg,Total,1.74
233,1999,SWE,Sweden,Total,1.5
234,1999,NOR,Norway,Total,1.85
235,1999,FIN,Finland,Total,1.73
236,1999,DNK,Denmark,Total,1.73
237,1999,ROU,Romania,Total,1.3
238,1999,FRA,France,Total,1.81
239,1999,SVN,Slovenia,Total,1.21
240,2000,SVN,Slovenia,Total,1.26
241,2000,FRA,France,Total,1.89
242,2000,ROU,Romania,Total,1.31
243,2000,DNK,Denmark,Total,1.77
244,2000,FIN,Finland,Total,1.73
245,2000,NOR,Norway,Total,1.85
246,2000,SWE,Sweden,Total,1.54
247,2000,LUX,Luxembourg,Total,1.76
248,2000,LTU,Lithuania,Total,1.39
249,2000,ESP,Spain,Total,1.22
250,2000,NLD,Netherlands,Total,1.72
251,2000,DEU,Germany,Total,1.38
252,2000,EST,Estonia,Total,1.36
253,2000,IRL,Ireland,Total,1.89
254,2000,LVA,Latvia,Total,1.25
255,2000,SVK,Slovak Republic,Total,1.3
256,2000,CHE,Switzerland,Total,1.5
257,2000,GRC,Greece,Total,1.25
258,2000,ISL,Iceland,Total,2.08
259,2000,HUN,Hungary,Total,1.32
260,2000,AUT,Austria,Total,1.36
261,2000,BGR,Bulgaria,Total,1.26
262,2000,PRT,Portugal,Total,1.55
263,2000,POL,Poland,Total,1.37
264,2000,ITA,Italy,Total,1.26
265,2000,BEL,Belgium,Total,1.67
266,2001,BEL,Belgium,Total,1.67
267,2001,ITA,Italy,Total,1.25
268,2001,POL,Poland,Total,1.31
269,2001,PRT,Portugal,Total,1.45
270,2001,BGR,Bulgaria,Total,1.21
271,2001,AUT,Austria,Total,1.33
272,2001,HUN,Hungary,Total,1.31
273,2001,ISL,Iceland,Total,1.95
274,2001,GRC,Greece,Total,1.25
275,2001,CHE,Switzerland,Total,1.38
276,2001,SVK,Slovak Republic,Total,1.2
277,2001,LVA,Latvia,Total,1.22
278,2001,IRL,Ireland,Total,1.94
279,2001,EST,Estonia,Total,1.32
280,2001,DEU,Germany,Total,1.35
281,2001,NLD,Netherlands,Total,1.71
282,2001,ESP,Spain,Total,1.23
283,2001,HRV,Croatia,Total,1.46
284,2001,LTU,Lithuania,Total,1.29
285,2001,LUX,Luxembourg,Total,1.66
286,2001,SWE,Sweden,Total,1.57
287,2001,NOR,Norway,Total,1.78
288,2001,FIN,Finland,Total,1.73
289,2001,DNK,Denmark,Total,1.74
290,2001,ROU,Romania,Total,1.27
291,2001,FRA,France,Total,1.9
292,2001,SVN,Slovenia,Total,1.21
293,2002,SVN,Slovenia,Total,1.21
294,2002,FRA,France,Total,1.88
295,2002,ROU,Romania,Total,1.25
296,2002,DNK,Denmark,Total,1.72
297,2002,FIN,Finland,Total,1.72
298,2002,NOR,Norway,Total,1.75
299,2002,SWE,Sweden,Total,1.65
300,2002,LUX,Luxembourg,Total,1.63
301,2002,LTU,Lithuania,Total,1.23
302,2002,HRV,Croatia,Total,1.42
303,2002,ESP,Spain,Total,1.25
304,2002,NLD,Netherlands,Total,1.73
305,2002,DEU,Germany,Total,1.34
306,2002,EST,Estonia,Total,1.36
307,2002,IRL,Ireland,Total,1.97
308,2002,LVA,Latvia,Total,1.26
309,2002,SVK,Slovak Republic,Total,1.19
310,2002,CHE,Switzerland,Total,1.39
311,2002,GRC,Greece,Total,1.28
312,2002,ISL,Iceland,Total,1.93
313,2002,HUN,Hungary,Total,1.3
314,2002,AUT,Austria,Total,1.39
315,2002,BGR,Bulgaria,Total,1.21
316,2002,PRT,Portugal,Total,1.46
317,2002,POL,Poland,Total,1.25
318,2002,ITA,Italy,Total,1.27
319,2002,BEL,Belgium,Total,1.65
320,2003,BEL,Belgium,Total,1.66
321,2003,ITA,Italy,Total,1.29
322,2003,POL,Poland,Total,1.22
323,2003,PRT,Portugal,Total,1.44
324,2003,BGR,Bulgaria,Total,1.23
325,2003,AUT,Austria,Total,1.38
326,2003,HUN,Hungary,Total,1.27
327,2003,ISL,Iceland,Total,1.99
328,2003,GRC,Greece,Total,1.29
329,2003,CHE,Switzerland,Total,1.39
330,2003,SVK,Slovak Republic,Total,1.2
331,2003,LVA,Latvia,Total,1.32
332,2003,IRL,Ireland,Total,1.96
333,2003,EST,Estonia,Total,1.37
334,2003,DEU,Germany,Total,1.34
335,2003,NLD,Netherlands,Total,1.75
336,2003,ESP,Spain,Total,1.3
337,2003,HRV,Croatia,Total,1.41
338,2003,LTU,Lithuania,Total,1.26
339,2003,LUX,Luxembourg,Total,1.62
340,2003,SWE,Sweden,Total,1.71
341,2003,NOR,Norway,Total,1.8
342,2003,FIN,Finland,Total,1.76
343,2003,DNK,Denmark,Total,1.76
344,2003,ROU,Romania,Total,1.27
345,2003,FRA,France,Total,1.89
346,2003,SVN,Slovenia,Total,1.2
347,2004,SVN,Slovenia,Total,1.25
348,2004,FRA,France,Total,1.92
349,2004,ROU,Romania,Total,1.29
350,2004,DNK,Denmark,Total,1.78
351,2004,FIN,Finland,Total,1.8
352,2004,NOR,Norway,Total,1.83
353,2004,SWE,Sweden,Total,1.75
354,2004,LUX,Luxembourg,Total,1.66
355,2004,LTU,Lithuania,Total,1.27
356,2004,HRV,Croatia,Total,1.43
357,2004,ESP,Spain,Total,1.31
358,2004,NLD,Netherlands,Total,1.72
359,2004,DEU,Germany,Total,1.36
360,2004,EST,Estonia,Total,1.47
361,2004,IRL,Ireland,Total,1.93
362,2004,LVA,Latvia,Total,1.29
363,2004,SVK,Slovak Republic,Total,1.25
364,2004,CHE,Switzerland,Total,1.42
365,2004,GRC,Greece,Total,1.31
366,2004,ISL,Iceland,Total,2.04
367,2004,HUN,Hungary,Total,1.28
368,2004,AUT,Austria,Total,1.42
369,2004,BGR,Bulgaria,Total,1.29
370,2004,PRT,Portugal,Total,1.4
371,2004,POL,Poland,Total,1.23
372,2004,ITA,Italy,Total,1.34
373,2004,BEL,Belgium,Total,1.72
374,2005,BEL,Belgium,Total,1.76
375,2005,ITA,Italy,Total,1.34
376,2005,POL,Poland,Total,1.24
377,2005,PRT,Portugal,Total,1.41
378,2005,BGR,Bulgaria,Total,1.32
379,2005,AUT,Austria,Total,1.41
380,2005,HUN,Hungary,Total,1.31
381,2005,ISL,Iceland,Total,2.05
382,2005,GRC,Greece,Total,1.34
383,2005,CHE,Switzerland,Total,1.42
384,2005,SVK,Slovak Republic,Total,1.27
385,2005,LVA,Latvia,Total,1.39
386,2005,IRL,Ireland,Total,1.86
387,2005,EST,Estonia,Total,1.52
388,2005,DEU,Germany,Total,1.34
389,2005,NLD,Netherlands,Total,1.71
390,2005,ESP,Spain,Total,1.33
391,2005,HRV,Croatia,Total,1.5
392,2005,LTU,Lithuania,Total,1.29
393,2005,LUX,Luxembourg,Total,1.63
394,2005,SWE,Sweden,Total,1.77
395,2005,NOR,Norway,Total,1.84
396,2005,FIN,Finland,Total,1.8
397,2005,DNK,Denmark,Total,1.8
398,2005,ROU,Romania,Total,1.32
399,2005,FRA,France,Total,1.94
400,2005,SVN,Slovenia,Total,1.26
401,2006,SVN,Slovenia,Total,1.31
402,2006,FRA,France,Total,2.0
403,2006,ROU,Romania,Total,1.32
404,2006,FIN,Finland,Total,1.84
405,2006,NOR,Norway,Total,1.9
406,2006,SWE,Sweden,Total,1.85
407,2006,LUX,Luxembourg,Total,1.65
408,2006,LTU,Lithuania,Total,1.33
409,2006,HRV,Croatia,Total,1.47
410,2006,ESP,Spain,Total,1.36
411,2006,NLD,Netherlands,Total,1.72
412,2006,DEU,Germany,Total,1.33
413,2006,EST,Estonia,Total,1.58
414,2006,IRL,Ireland,Total,1.92
415,2006,LVA,Latvia,Total,1.46
416,2006,SVK,Slovak Republic,Total,1.25
417,2006,CHE,Switzerland,Total,1.44
418,2006,GRC,Greece,Total,1.4
419,2006,ISL,Iceland,Total,2.08
420,2006,HUN,Hungary,Total,1.34
421,2006,AUT,Austria,Total,1.41
422,2006,BGR,Bulgaria,Total,1.38
423,2006,PRT,Portugal,Total,1.37
424,2006,POL,Poland,Total,1.27
425,2006,ITA,Italy,Total,1.37
426,2006,BEL,Belgium,Total,1.8
427,2007,BEL,Belgium,Total,1.82
428,2007,ITA,Italy,Total,1.4
429,2007,POL,Poland,Total,1.31
430,2007,PRT,Portugal,Total,1.35
431,2007,BGR,Bulgaria,Total,1.49
432,2007,AUT,Austria,Total,1.38
433,2007,HUN,Hungary,Total,1.32
434,2007,ISL,Iceland,Total,2.09
435,2007,GRC,Greece,Total,1.41
436,2007,CHE,Switzerland,Total,1.46
437,2007,SVK,Slovak Republic,Total,1.27
438,2007,LVA,Latvia,Total,1.54
439,2007,IRL,Ireland,Total,2.01
440,2007,EST,Estonia,Total,1.69
441,2007,DEU,Germany,Total,1.37
442,2007,NLD,Netherlands,Total,1.72
443,2007,ESP,Spain,Total,1.38
444,2007,HRV,Croatia,Total,1.48
445,2007,LTU,Lithuania,Total,1.36
446,2007,LUX,Luxembourg,Total,1.61
447,2007,SWE,Sweden,Total,1.88
448,2007,NOR,Norway,Total,1.9
449,2007,FIN,Finland,Total,1.83
450,2007,ROU,Romania,Total,1.3
451,2007,FRA,France,Total,1.98
452,2007,SVN,Slovenia,Total,1.38
453,2008,SVN,Slovenia,Total,1.53
454,2008,FRA,France,Total,2.01
455,2008,ROU,Romania,Total,1.35
456,2008,FIN,Finland,Total,1.85
457,2008,NOR,Norway,Total,1.96
458,2008,SWE,Sweden,Total,1.91
459,2008,LUX,Luxembourg,Total,1.61
460,2008,LTU,Lithuania,Total,1.45
461,2008,HRV,Croatia,Total,1.55
462,2008,ESP,Spain,Total,1.45
463,2008,NLD,Netherlands,Total,1.77
464,2008,DEU,Germany,Total,1.38
465,2008,EST,Estonia,Total,1.72
466,2008,IRL,Ireland,Total,2.06
467,2008,LVA,Latvia,Total,1.58
468,2008,SVK,Slovak Republic,Total,1.34
469,2008,CHE,Switzerland,Total,1.48
470,2008,GRC,Greece,Total,1.5
471,2008,ISL,Iceland,Total,2.15
472,2008,HUN,Hungary,Total,1.35
473,2008,AUT,Austria,Total,1.42
474,2008,BGR,Bulgaria,Total,1.56
475,2008,PRT,Portugal,Total,1.39
476,2008,POL,Poland,Total,1.39
477,2008,ITA,Italy,Total,1.45
478,2008,BEL,Belgium,Total,1.85
479,2009,BEL,Belgium,Total,1.84
480,2009,ITA,Italy,Total,1.45
481,2009,POL,Poland,Total,1.4
482,2009,PRT,Portugal,Total,1.34
483,2009,BGR,Bulgaria,Total,1.66
484,2009,AUT,Austria,Total,1.39
485,2009,HUN,Hungary,Total,1.32
486,2009,ISL,Iceland,Total,2.23
487,2009,GRC,Greece,Total,1.5
488,2009,CHE,Switzerland,Total,1.5
489,2009,SVK,Slovak Republic,Total,1.44
490,2009,LVA,Latvia,Total,1.46
491,2009,IRL,Ireland,Total,2.06
492,2009,EST,Estonia,Total,1.7
493,2009,DEU,Germany,Total,1.36
494,2009,NLD,Netherlands,Total,1.79
495,2009,ESP,Spain,Total,1.38
496,2009,HRV,Croatia,Total,1.58
497,2009,LTU,Lithuania,Total,1.5
498,2009,LUX,Luxembourg,Total,1.59
499,2009,SWE,Sweden,Total,1.94
500,2009,NOR,Norway,Total,1.98
501,2009,FIN,Finland,Total,1.86
502,2009,ROU,Romania,Total,1.38
503,2009,FRA,France,Total,2.0
504,2009,SVN,Slovenia,Total,1.53
505,2010,SVN,Slovenia,Total,1.57
506,2010,FRA,France,Total,2.03
507,2010,ROU,Romania,Total,1.59
508,2010,FIN,Finland,Total,1.87
509,2010,NOR,Norway,Total,1.95
510,2010,SWE,Sweden,Total,1.98
511,2010,LUX,Luxembourg,Total,1.63
512,2010,LTU,Lithuania,Total,1.5
513,2010,HRV,Croatia,Total,1.55
514,2010,ESP,Spain,Total,1.37
515,2010,NLD,Netherlands,Total,1.79
516,2010,DEU,Germany,Total,1.39
517,2010,EST,Estonia,Total,1.72
518,2010,IRL,Ireland,Total,2.05
519,2010,LVA,Latvia,Total,1.36
520,2010,SVK,Slovak Republic,Total,1.43
521,2010,CHE,Switzerland,Total,1.52
522,2010,GRC,Greece,Total,1.48
523,2010,ISL,Iceland,Total,2.2
524,2010,HUN,Hungary,Total,1.25
525,2010,AUT,Austria,Total,1.44
526,2010,BGR,Bulgaria,Total,1.57
527,2010,PRT,Portugal,Total,1.39
528,2010,POL,Poland,Total,1.38
529,2010,ITA,Italy,Total,1.46
530,2010,BEL,Belgium,Total,1.86
531,2011,BEL,Belgium,Total,1.81
532,2011,ITA,Italy,Total,1.44
533,2011,POL,Poland,Total,1.3
534,2011,PRT,Portugal,Total,1.35
535,2011,BGR,Bulgaria,Total,1.51
536,2011,AUT,Austria,Total,1.43
537,2011,HUN,Hungary,Total,1.23
538,2011,ISL,Iceland,Total,2.02
539,2011,GRC,Greece,Total,1.4
540,2011,CHE,Switzerland,Total,1.52
541,2011,SVK,Slovak Republic,Total,1.45
542,2011,LVA,Latvia,Total,1.33
543,2011,IRL,Ireland,Total,2.03
544,2011,EST,Estonia,Total,1.61
545,2011,DEU,Germany,Total,1.36
546,2011,NLD,Netherlands,Total,1.76
547,2011,ESP,Spain,Total,1.34
548,2011,HRV,Croatia,Total,1.48
549,2011,LTU,Lithuania,Total,1.55
550,2011,LUX,Luxembourg,Total,1.52
551,2011,SWE,Sweden,Total,1.9
552,2011,NOR,Norway,Total,1.88
553,2011,FIN,Finland,Total,1.83
554,2011,ROU,Romania,Total,1.47
555,2011,FRA,France,Total,2.01
556,2011,SVN,Slovenia,Total,1.56
557,2012,SVN,Slovenia,Total,1.58
558,2012,FRA,France,Total,2.01
559,2012,ROU,Romania,Total,1.52
560,2012,FIN,Finland,Total,1.8
561,2012,NOR,Norway,Total,1.85
562,2012,SWE,Sweden,Total,1.91
563,2012,LUX,Luxembourg,Total,1.57
564,2012,LTU,Lithuania,Total,1.6
565,2012,HRV,Croatia,Total,1.51
566,2012,ESP,Spain,Total,1.32
567,2012,NLD,Netherlands,Total,1.72
568,2012,DEU,Germany,Total,1.41
569,2012,EST,Estonia,Total,1.56
570,2012,IRL,Ireland,Total,1.98
571,2012,LVA,Latvia,Total,1.44
572,2012,SVK,Slovak Republic,Total,1.34
573,2012,CHE,Switzerland,Total,1.52
574,2012,GRC,Greece,Total,1.34
575,2012,ISL,Iceland,Total,2.04
576,2012,HUN,Hungary,Total,1.34
577,2012,AUT,Austria,Total,1.44
578,2012,BGR,Bulgaria,Total,1.5
579,2012,PRT,Portugal,Total,1.28
580,2012,POL,Poland,Total,1.3
581,2012,ITA,Italy,Total,1.43
582,2012,BEL,Belgium,Total,1.8
583,2013,PRT,Portugal,Total,1.21
584,2013,AUT,Austria,Total,1.44
585,2013,HUN,Hungary,Total,1.35
586,2013,ISL,Iceland,Total,1.93
587,2013,CHE,Switzerland,Total,1.52
588,2013,GBR,United Kingdom,Total,1.83
589,2013,DEU,Germany,Total,1.42
590,2013,HRV,Croatia,Total,1.46
591,2013,LUX,Luxembourg,Total,1.55
592,2013,NOR,Norway,Total,1.78
593,2013,FIN,Finland,Total,1.75
594,2013,FRA,France,Total,1.99
595,2013,SVN,Slovenia,Total,1.55
596,2014,SVN,Slovenia,Total,1.58
597,2014,FRA,France,Total,2.0
598,2014,ROU,Romania,Total,1.56
599,2014,FIN,Finland,Total,1.71
600,2014,NOR,Norway,Total,1.75
601,2014,SWE,Sweden,Total,1.88
602,2014,LUX,Luxembourg,Total,1.5
603,2014,HRV,Croatia,Total,1.46
604,2014,ESP,Spain,Total,1.32
605,2014,NLD,Netherlands,Total,1.71
606,2014,LVA,Latvia,Total,1.65
607,2014,SVK,Slovak Republic,Total,1.37
608,2014,CHE,Switzerland,Total,1.54
609,2014,GRC,Greece,Total,1.3
610,2014,ISL,Iceland,Total,1.93
611,2014,HUN,Hungary,Total,1.44
612,2014,AUT,Austria,Total,1.46
613,2014,PRT,Portugal,Total,1.23
614,2015,AUT,Austria,Total,1.49
615,2015,HUN,Hungary,Total,1.45
616,2015,GRC,Greece,Total,1.33
617,2015,CHE,Switzerland,Total,1.54
618,2015,EST,Estonia,Total,1.58
619,2015,DEU,Germany,Total,1.5
620,2015,NLD,Netherlands,Total,1.66
621,2015,HRV,Croatia,Total,1.4
622,2015,LUX,Luxembourg,Total,1.47
623,2015,SWE,Sweden,Total,1.85
624,2015,FIN,Finland,Total,1.65
625,2015,ROU,Romania,Total,1.62
626,2015,FRA,France,Total,1.96
627,2016,FRA,France,Total,1.92
628,2016,FIN,Finland,Total,1.57
629,2016,NOR,Norway,Total,1.71
630,2016,NLD,Netherlands,Total,1.66
631,2016,DEU,Germany,Total,1.6
632,2016,LVA,Latvia,Total,1.74
633,2016,GBR,United Kingdom,Total,1.79
634,2016,GRC,Greece,Total,1.38
635,2016,HUN,Hungary,Total,1.53
636,2016,AUT,Austria,Total,1.53
637,2016,PRT,Portugal,Total,1.36
638,2016,POL,Poland,Total,1.39
639,2017,AUT,Austria,Total,1.52
640,2017,HUN,Hungary,Total,1.54
641,2017,ISL,Iceland,Total,1.71
642,2017,GRC,Greece,Total,1.35
643,2017,GBR,United Kingdom,Total,1.74
644,2017,IRL,Ireland,Total,1.77
645,2017,NLD,Netherlands,Total,1.62
646,2017,HRV,Croatia,Total,1.42
647,2017,FIN,Finland,Total,1.49
648,2017,DNK,Denmark,Total,1.75
649,2017,ROU,Romania,Total,1.78
650,2017,FRA,France,Total,1.89
651,2017,SVN,Slovenia,Total,1.62
652,2018,FRA,France,Total,1.87
653,2018,ROU,Romania,Total,1.76
654,2018,DNK,Denmark,Total,1.73
655,2018,FIN,Finland,Total,1.41
656,2018,SWE,Sweden,Total,1.76
657,2018,HRV,Croatia,Total,1.47
658,2018,NLD,Netherlands,Total,1.59
659,2018,DEU,Germany,Total,1.57
660,2018,GBR,United Kingdom,Total,1.68
661,2018,CHE,Switzerland,Total,1.52
662,2018,GRC,Greece,Total,1.35
663,2018,ISL,Iceland,Total,1.71
664,2018,POL,Poland,Total,1.46
665,2019,POL,Poland,Total,1.44
666,2019,HUN,Hungary,Total,1.55
